Source,Target,Weight
BLACK PANTHER/T'CHAL,REDWING,7
BLACK PANTHER/T'CHAL,DAREDEVIL/MATT MURDO,21
BLACK PANTHER/T'CHAL,"NORRISS, SISTER BARB",15
BLACK PANTHER/T'CHAL,RAGE/ELVIN DARYL HAL,10
BLACK PANTHER/T'CHAL,STARFOX/EROS,10
BLACK PANTHER/T'CHAL,DEMOLITION MAN/DENNI,5
BLACK PANTHER/T'CHAL,SERSI/SYLVIA,14
BLACK PANTHER/T'CHAL,SPIDER-MAN/PETER PARKER,24
BLACK PANTHER/T'CHAL,VISION,132
BLACK PANTHER/T'CHAL,UATU,12
BLACK PANTHER/T'CHAL,BINARY/CAROL DANVERS,14
BLACK PANTHER/T'CHAL,"GYRICH, HENRY PETER",7
BLACK PANTHER/T'CHAL,NIGHTCRAWLER/KURT WA,7
BLACK PANTHER/T'CHAL,ANGEL/WARREN KENNETH,11
BLACK PANTHER/T'CHAL,SILVER SURFER/NORRIN,15
BLACK PANTHER/T'CHAL,SHE-HULK/JENNIFER WA,32
GHAUR [DEVIANT],BLACK PANTHER/T'CHAL,6
DR. DOOM/VICTOR VON,BLACK PANTHER/T'CHAL,17
STORM/ORORO MUNROE S,BLACK PANTHER/T'CHAL,13
SCARLET WITCH/WANDA,BLACK PANTHER/T'CHAL,108
TOAD/MORTIMER TOYNBE,BLACK PANTHER/T'CHAL,5
HULK/DR. ROBERT BRUCE BANNER,BLACK PANTHER/T'CHAL,27
FIRESTAR/ANGELICA JO,BLACK PANTHER/T'CHAL,13
WONDER MAN/SIMON WIL,BLACK PANTHER/T'CHAL,51
DRAX/ARTHUR DOUGLAS,BLACK PANTHER/T'CHAL,6
"DUGAN, TIMOTHY ALOYI",BLACK PANTHER/T'CHAL,9
"CARTER, SHARON",BLACK PANTHER/T'CHAL,7
BLACK KNIGHT V/DANE,BLACK PANTHER/T'CHAL,23
SUNFIRE/SHIRO YOSHID,BLACK PANTHER/T'CHAL,5
TRITON,BLACK PANTHER/T'CHAL,9
ULTRON,BLACK PANTHER/T'CHAL,15
"JONES, RICHARD MILHO",BLACK PANTHER/T'CHAL,16
IRON MAN/TONY STARK,BLACK PANTHER/T'CHAL,120
"NELSON, FRANKLIN FOG",BLACK PANTHER/T'CHAL,7
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,131
"JARVIS, EDWIN",BLACK PANTHER/T'CHAL,55
QUASAR III/WENDELL V,BLACK PANTHER/T'CHAL,20
"JAMESON, J. JONAH",BLACK PANTHER/T'CHAL,7
"MASTERS, ALICIA REIS",BLACK PANTHER/T'CHAL,5
MAGNETO/MAGNUS/ERIC,BLACK PANTHER/T'CHAL,7
INVISIBLE WOMAN/SUE,BLACK PANTHER/T'CHAL,39
PROFESSOR X/CHARLES,BLACK PANTHER/T'CHAL,9
IRON FIST/DANIEL RAN,BLACK PANTHER/T'CHAL,7
BLACK BOLT/BLACKANTO,BLACK PANTHER/T'CHAL,15
HAWK,BLACK PANTHER/T'CHAL,95
SANDMAN/WILLIAM BAKE,BLACK PANTHER/T'CHAL,5
FALCON/SAM WILSON,BLACK PANTHER/T'CHAL,18
STINGRAY/DR. WALTER,BLACK PANTHER/T'CHAL,6
JUSTICE II/VANCE AST,BLACK PANTHER/T'CHAL,14
HERCULES [GREEK GOD],BLACK PANTHER/T'CHAL,28
USAGENT/CAPTAIN JOHN,BLACK PANTHER/T'CHAL,5
CAPTAIN MARVEL II/MO,BLACK PANTHER/T'CHAL,8
CRYSTAL [INHUMAN],BLACK PANTHER/T'CHAL,28
TIGRA/GREER NELSON,BLACK PANTHER/T'CHAL,16
SPIDER-WOMAN II/JULI,BLACK PANTHER/T'CHAL,5
MACHINE MAN/X-51,BLACK PANTHER/T'CHAL,8
MOCKINGBIRD/DR. BARB,BLACK PANTHER/T'CHAL,6
CAPTAIN MARVEL/CAPTA,BLACK PANTHER/T'CHAL,15
WASP/JANET VAN DYNE,BLACK PANTHER/T'CHAL,84
"FURY, COL. NICHOLAS",BLACK PANTHER/T'CHAL,18
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL,103
QUICKSILVER/PIETRO M,BLACK PANTHER/T'CHAL,48
CAPTAIN BRITAIN/BRIA,BLACK PANTHER/T'CHAL,5
SHADOWCAT/KATHERINE,BLACK PANTHER/T'CHAL,5
BLACK WIDOW/NATASHA,BLACK PANTHER/T'CHAL,44
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL,86
MOON KNIGHT/MARC SPE,BLACK PANTHER/T'CHAL,6
JOCASTA,BLACK PANTHER/T'CHAL,10
MOONDRAGON/HEATHER D,BLACK PANTHER/T'CHAL,21
THING/BENJAMIN J. GR,BLACK PANTHER/T'CHAL,49
BEAST/HENRY &HANK& P,BLACK PANTHER/T'CHAL,44
IRON MAN/TONY STARK,MEPHISTO,11
IRON MAN/TONY STARK,NOVA/RICHARD RIDER,17
IRON MAN/TONY STARK,WRECKER III/DIRK GAR,7
IRON MAN/TONY STARK,WARLOCK II/ADAM WARL,11
IRON MAN/TONY STARK,JACK OF HEARTS/JACK,20
IRON MAN/TONY STARK,PILEDRIVER II/BRIAN,6
IRON MAN/TONY STARK,THUNDERBALL/DR. ELIO,7
IRON MAN/TONY STARK,SCARLET WITCH/WANDA,372
IRON MAN/TONY STARK,BINARY/CAROL DANVERS,77
IRON MAN/TONY STARK,GHAUR [DEVIANT],7
IRON MAN/TONY STARK,PROFESSOR X/CHARLES,29
IRON MAN/TONY STARK,DR. OCTOPUS/OTTO OCT,6
IRON MAN/TONY STARK,SILVER SURFER/NORRIN,42
IRON MAN/TONY STARK,"BANNER, BETTY ROSS T",16
IRON MAN/TONY STARK,AVALANCHE/DOMINIC PE,6
IRON MAN/TONY STARK,ATTUMA,9
IRON MAN/TONY STARK,HELA [ASGARDIAN],7
IRON MAN/TONY STARK,NIGHTCRAWLER/KURT WA,16
IRON MAN/TONY STARK,ANGEL/WARREN KENNETH,32
IRON MAN/TONY STARK,"NELSON, FRANKLIN FOG",7
IRON MAN/TONY STARK,DOC SAMSON/DR. LEONA,13
IRON MAN/TONY STARK,GUARDIAN/JAMES MACDO,5
IRON MAN/TONY STARK,STORM/ORORO MUNROE S,22
IRON MAN/TONY STARK,NORTHSTAR/JEAN-PAUL,5
IRON MAN/TONY STARK,"DUGAN, TIMOTHY ALOYI",36
IRON MAN/TONY STARK,CAPTAIN BRITAIN/BRIA,7
IRON MAN/TONY STARK,CAPTAIN MARVEL/CAPTA,36
IRON MAN/TONY STARK,DR. DRUID/ANTHONY LU,12
IRON MAN/TONY STARK,"WATSON-PARKER, MARY",9
IRON MAN/TONY STARK,SUNFIRE/SHIRO YOSHID,17
IRON MAN/TONY STARK,MYSTIQUE/RAVEN DARKH,5
IRON MAN/TONY STARK,PYRO/ALLERDYCE JOHNN,6
IRON MAN/TONY STARK,DESTINY II/IRENE ADL,5
IRON MAN/TONY STARK,MISTER HYDE/CALVIN Z,6
IRON MAN/TONY STARK,SHE-HULK/JENNIFER WA,93
IRON MAN/TONY STARK,"JARVIS, EDWIN",183
IRON MAN/TONY STARK,GHOST RIDER II/JOHNN,8
IRON MAN/TONY STARK,LOCKJAW [INHUMAN],13
IRON MAN/TONY STARK,MOLE MAN/HARVEY RUPE,11
IRON MAN/TONY STARK,WASP/JANET VAN DYNE,301
IRON MAN/TONY STARK,FIRELORD/PYREUS KRIL,8
IRON MAN/TONY STARK,STARFOX/EROS,30
IRON MAN/TONY STARK,LEADER/SAM STERNS,8
IRON MAN/TONY STARK,FIRESTAR/ANGELICA JO,42
IRON MAN/TONY STARK,"LE FEY, MORGAN",5
IRON MAN/TONY STARK,BULLDOZER/HENRY CAMP,6
IRON MAN/TONY STARK,FORGOTTEN ONE/GILGAM,5
IRON MAN/TONY STARK,MR. FANTASTIC/REED R,128
IRON MAN/TONY STARK,BALDER [ASGARDIAN],8
IRON MAN/TONY STARK,HOGUN [ASGARDIAN],7
IRON MAN/TONY STARK,HELLSTORM/DAIMON HEL,7
IRON MAN/TONY STARK,AURORA/JEANNE-MARIE,5
IRON MAN/TONY STARK,THOR/DR. DONALD BLAK,344
IRON MAN/TONY STARK,"O'BRIEN, MICHAEL",29
IRON MAN/TONY STARK,"STANKOWICZ, FABIAN",8
IRON MAN/TONY STARK,SCREAMING MIMI/MELIS,8
IRON MAN/TONY STARK,MOONSTONE II/KARLA S,8
IRON MAN/TONY STARK,FIXER II/PAUL NORBER,7
IRON MAN/TONY STARK,DARKSTAR/LAYNIA SERG,15
IRON MAN/TONY STARK,VANGUARD/NICOLAI KRY,12
IRON MAN/TONY STARK,DAREDEVIL/MATT MURDO,53
IRON MAN/TONY STARK,GAMORA,5
IRON MAN/TONY STARK,PSYLOCKE/ELISABETH B,10
IRON MAN/TONY STARK,ROGUE /,11
IRON MAN/TONY STARK,HUMAN TORCH/JOHNNY S,108
IRON MAN/TONY STARK,HELLCAT/PATSY WALKER,29
IRON MAN/TONY STARK,"NORRISS, SISTER BARB",18
IRON MAN/TONY STARK,SANDMAN/WILLIAM BAKE,17
IRON MAN/TONY STARK,SASQUATCH/WALTER LAN,9
IRON MAN/TONY STARK,COLOSSUS II/PETER RA,17
IRON MAN/TONY STARK,"MASTERS, ALICIA REIS",19
IRON MAN/TONY STARK,LUNA/LUNA MAXIMOFF [,9
IRON MAN/TONY STARK,"JONES, RICHARD MILHO",58
IRON MAN/TONY STARK,ULTRON,33
IRON MAN/TONY STARK,WHIZZER II/STANLEY S,10
IRON MAN/TONY STARK,DR. SPECTRUM/JOSEPH,10
IRON MAN/TONY STARK,DEMOLITION MAN/DENNI,7
IRON MAN/TONY STARK,CAPTAIN AMERICA,446
IRON MAN/TONY STARK,KINGPIN/WILSON FISK,6
IRON MAN/TONY STARK,RAGE/ELVIN DARYL HAL,16
IRON MAN/TONY STARK,ANT-MAN II/SCOTT HAR,27
IRON MAN/TONY STARK,THANOS,20
IRON MAN/TONY STARK,CLEA,6
IRON MAN/TONY STARK,POLARIS/LORNA DANE,5
IRON MAN/TONY STARK,"DE LA FONTAINE, CONT",10
IRON MAN/TONY STARK,HEIMDALL [ASGARDIAN],7
IRON MAN/TONY STARK,UATU,16
IRON MAN/TONY STARK,COLLECTOR/TANELEER T,14
IRON MAN/TONY STARK,"GYRICH, HENRY PETER",24
IRON MAN/TONY STARK,WONDER MAN/SIMON WIL,249
IRON MAN/TONY STARK,JUSTICE II/VANCE AST,36
IRON MAN/TONY STARK,VISION,333
IRON MAN/TONY STARK,RED SKULL/JOHANN SCH,7
IRON MAN/TONY STARK,"THOMPSON, EUGENE FLA",5
IRON MAN/TONY STARK,WONG,11
IRON MAN/TONY STARK,"PARKER, MAY",9
IRON MAN/TONY STARK,GREEN GOBLIN/NORMAN,7
IRON MAN/TONY STARK,SUB-MARINER/NAMOR MA,71
IRON MAN/TONY STARK,SPIDER-MAN/PETER PARKER,94
IRON MAN/TONY STARK,HERCULES [GREEK GOD],79
IRON MAN/TONY STARK,DEATH,11
IRON MAN/TONY STARK,NIGHT THRASHER/DUANE,5
IRON MAN/TONY STARK,ETERNITY/ADAM QADMON,8
IRON MAN/TONY STARK,WOLVERINE/LOGAN,33
IRON MAN/TONY STARK,GALACTUS/GALAN,15
TRIATHLON/DELROY GAR,IRON MAN/TONY STARK,30
"CAGE, LUKE/CARL LUCA",IRON MAN/TONY STARK,19
SPIDER-WOMAN II/JULI,IRON MAN/TONY STARK,62
BEETLE/ABNER RONALD,IRON MAN/TONY STARK,17
"JAMESON, J. JONAH",IRON MAN/TONY STARK,27
LILANDRA NERAMANI [S,IRON MAN/TONY STARK,6
THING/BENJAMIN J. GR,IRON MAN/TONY STARK,129
HAWK,IRON MAN/TONY STARK,294
JOCASTA,IRON MAN/TONY STARK,50
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK,291
MOCKINGBIRD/DR. BARB,IRON MAN/TONY STARK,74
"CARTER, SHARON",IRON MAN/TONY STARK,16
ODIN [ASGARDIAN],IRON MAN/TONY STARK,17
BLACK KNIGHT V/DANE,IRON MAN/TONY STARK,50
TRITON,IRON MAN/TONY STARK,12
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK,117
DR. DOOM/VICTOR VON,IRON MAN/TONY STARK,40
INVISIBLE WOMAN/SUE,IRON MAN/TONY STARK,114
MAD DOG/COLONEL BUZZ,IRON MAN/TONY STARK,9
"KINCAID, DR. JANE FO",IRON MAN/TONY STARK,20
WIZARD/BENTLEY WITTM,IRON MAN/TONY STARK,7
NIGHTHAWK II/KYLE RI,IRON MAN/TONY STARK,13
MANTIS/? BRANDT,IRON MAN/TONY STARK,38
SWORDSMAN/JACQUES DU,IRON MAN/TONY STARK,36
CHARCOAL/CHARLIE BUR,IRON MAN/TONY STARK,6
HULK/DR. ROBERT BRUCE BANNER,IRON MAN/TONY STARK,85
TOAD/MORTIMER TOYNBE,IRON MAN/TONY STARK,5
BLOB/FRED J. DUKES,IRON MAN/TONY STARK,8
CLOAK/TYRONE JOHNSON,IRON MAN/TONY STARK,6
THUNDERSTRIKE/ERIC K,IRON MAN/TONY STARK,21
POWER MAN/ERIK JOSTE,IRON MAN/TONY STARK,19
HUMAN TORCH ANDROID/,IRON MAN/TONY STARK,25
JUGGERNAUT/CAIN MARK,IRON MAN/TONY STARK,5
CYCLOPS/SCOTT SUMMER,IRON MAN/TONY STARK,28
ICEMAN/ROBERT BOBBY,IRON MAN/TONY STARK,26
PHARAOH RAMA-TUT,IRON MAN/TONY STARK,41
MARVEL GIRL/JEAN GREY,IRON MAN/TONY STARK,23
KARNAK [INHUMAN],IRON MAN/TONY STARK,10
DR. STRANGE/STEPHEN,IRON MAN/TONY STARK,52
ABSORBING MAN/CARL C,IRON MAN/TONY STARK,5
REDWING,IRON MAN/TONY STARK,17
DRAX/ARTHUR DOUGLAS,IRON MAN/TONY STARK,18
VOLSTAGG,IRON MAN/TONY STARK,5
SHAMAN/MICHAEL TWOYO,IRON MAN/TONY STARK,7
SNOWBIRD/NARYA/ANNE,IRON MAN/TONY STARK,5
DAGGER/TANDY BOWEN,IRON MAN/TONY STARK,6
PHOENIX III/RACHEL S,IRON MAN/TONY STARK,6
SHADOWCAT/KATHERINE,IRON MAN/TONY STARK,15
USAGENT/CAPTAIN JOHN,IRON MAN/TONY STARK,87
MANDARIN,IRON MAN/TONY STARK,65
FANDRAL [ASGARDIAN],IRON MAN/TONY STARK,8
MS. MARVEL II/SHARON,IRON MAN/TONY STARK,7
PIP/PRINCE GOFERN,IRON MAN/TONY STARK,7
ENCHANTRESS/AMORA/HE,IRON MAN/TONY STARK,19
"JAMESON, COL. JOHN",IRON MAN/TONY STARK,6
"COOPER, DR. VALERIE",IRON MAN/TONY STARK,6
NOVA II/FRANKIE RAYE,IRON MAN/TONY STARK,6
DARKHAWK/CHRIS POWEL,IRON MAN/TONY STARK,7
MEDUSA/MEDUSALITH AM,IRON MAN/TONY STARK,15
NOMAD III/JACK MONRO,IRON MAN/TONY STARK,5
"ROBERTSON, JOE",IRON MAN/TONY STARK,9
"FURY, COL. NICHOLAS",IRON MAN/TONY STARK,90
GORGON [INHUMAN],IRON MAN/TONY STARK,11
GARGOYLE II/ISAAC CH,IRON MAN/TONY STARK,7
IRON FIST/DANIEL RAN,IRON MAN/TONY STARK,15
BLACK BOLT/BLACKANTO,IRON MAN/TONY STARK,14
NAMORITA/NITA PRENTI,IRON MAN/TONY STARK,15
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK,189
"ROSS, GEN. THADDEUS",IRON MAN/TONY STARK,16
"HARKNESS, AGATHA",IRON MAN/TONY STARK,24
"CARTER, PEGGY",IRON MAN/TONY STARK,9
"RICHARDS, FRANKLIN B",IRON MAN/TONY STARK,27
MACHINE MAN/X-51,IRON MAN/TONY STARK,14
STINGRAY/DR. WALTER,IRON MAN/TONY STARK,7
FIREBIRD/BONITA JUAR,IRON MAN/TONY STARK,24
SERSI/SYLVIA,IRON MAN/TONY STARK,37
CRYSTAL [INHUMAN],IRON MAN/TONY STARK,44
CAPTAIN MARVEL II/MO,IRON MAN/TONY STARK,43
BEAST/HENRY &HANK& P,IRON MAN/TONY STARK,142
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK,110
HYPERION,IRON MAN/TONY STARK,10
FALCON/SAM WILSON,IRON MAN/TONY STARK,44
QUASAR III/WENDELL V,IRON MAN/TONY STARK,43
LIVING LIGHTNING/MIG,IRON MAN/TONY STARK,35
MAGNETO/MAGNUS/ERIC,IRON MAN/TONY STARK,14
"JONES, GABE",IRON MAN/TONY STARK,21
"OSBORN, LIZ ALLAN",IRON MAN/TONY STARK,5
"LEEDS, BETTY BRANT",IRON MAN/TONY STARK,6
LOKI [ASGARDIAN],IRON MAN/TONY STARK,28
SIF,IRON MAN/TONY STARK,9
BLACK WIDOW/NATASHA,IRON MAN/TONY STARK,94
MOON KNIGHT/MARC SPE,IRON MAN/TONY STARK,18
MOONDRAGON/HEATHER D,IRON MAN/TONY STARK,50
DAZZLER II/ALLISON B,IRON MAN/TONY STARK,8
MOLECULE MAN/OWEN RE,IRON MAN/TONY STARK,5
SPEEDBALL/ROBBIE BAL,IRON MAN/TONY STARK,9
TIGRA/GREER NELSON,IRON MAN/TONY STARK,87
IRON MAN IV/JAMES R.,MAGNETO/MAGNUS/ERIC,13
IRON MAN IV/JAMES R.,DR. OCTOPUS/OTTO OCT,11
IRON MAN IV/JAMES R.,MOLECULE MAN/OWEN RE,11
IRON MAN IV/JAMES R.,CAPTAIN MARVEL II/MO,21
IRON MAN IV/JAMES R.,WOLVERINE/LOGAN,15
IRON MAN IV/JAMES R.,PROFESSOR X/CHARLES,15
IRON MAN IV/JAMES R.,PHARAOH RAMA-TUT,7
IRON MAN IV/JAMES R.,GALACTUS/GALAN,12
IRON MAN IV/JAMES R.,DR. DOOM/VICTOR VON,16
IRON MAN IV/JAMES R.,USAGENT/CAPTAIN JOHN,21
IRON MAN IV/JAMES R.,WASP/JANET VAN DYNE,27
IRON MAN IV/JAMES R.,"HOGAN, VIRGINIA PEPP",20
IRON MAN IV/JAMES R.,LIVING LIGHTNING/MIG,7
IRON MAN IV/JAMES R.,CAPTAIN AMERICA,37
IRON MAN IV/JAMES R.,ANT-MAN II/SCOTT HAR,15
IRON MAN IV/JAMES R.,SUB-MARINER/NAMOR MA,5
IRON MAN IV/JAMES R.,SHADOWCAT/KATHERINE,5
IRON MAN IV/JAMES R.,JOCASTA,7
IRON MAN IV/JAMES R.,BINARY/CAROL DANVERS,5
IRON MAN IV/JAMES R.,INVISIBLE WOMAN/SUE,6
IRON MAN IV/JAMES R.,HERCULES [GREEK GOD],5
IRON MAN IV/JAMES R.,ROGUE /,17
IRON MAN IV/JAMES R.,BEETLE/ABNER RONALD,8
IRON MAN IV/JAMES R.,"GYRICH, HENRY PETER",5
IRON MAN IV/JAMES R.,DAREDEVIL/MATT MURDO,5
IRON MAN IV/JAMES R.,SPIDER-WOMAN II/JULI,25
SPIDER-MAN/PETER PARKER,IRON MAN IV/JAMES R.,17
HULK/DR. ROBERT BRUCE BANNER,IRON MAN IV/JAMES R.,16
ENCHANTRESS/AMORA/HE,IRON MAN IV/JAMES R.,10
LIZARD/DR. CURTIS CO,IRON MAN IV/JAMES R.,13
THING/BENJAMIN J. GR,IRON MAN IV/JAMES R.,14
ANT-MAN/DR. HENRY J.,IRON MAN IV/JAMES R.,11
TIGRA/GREER NELSON,IRON MAN IV/JAMES R.,16
MOCKINGBIRD/DR. BARB,IRON MAN IV/JAMES R.,19
MANDARIN,IRON MAN IV/JAMES R.,31
STORM/ORORO MUNROE S,IRON MAN IV/JAMES R.,13
ABSORBING MAN/CARL C,IRON MAN IV/JAMES R.,12
VOLCANA/MARSHA ROSEN,IRON MAN IV/JAMES R.,9
LOCKHEED,IRON MAN IV/JAMES R.,6
KLAW/ULYSSES KLAW,IRON MAN IV/JAMES R.,7
CYCLOPS/SCOTT SUMMER,IRON MAN IV/JAMES R.,12
WRECKER III/DIRK GAR,IRON MAN IV/JAMES R.,12
ULTRON,IRON MAN IV/JAMES R.,10
TITANIA II/MARY SKEE,IRON MAN IV/JAMES R.,9
PILEDRIVER II/BRIAN,IRON MAN IV/JAMES R.,11
NIGHTCRAWLER/KURT WA,IRON MAN IV/JAMES R.,17
BULLDOZER/HENRY CAMP,IRON MAN IV/JAMES R.,10
BEAST/HENRY &HANK& P,IRON MAN IV/JAMES R.,6
ANGEL/WARREN KENNETH,IRON MAN IV/JAMES R.,5
THOR/DR. DONALD BLAK,IRON MAN IV/JAMES R.,23
THUNDERBALL/DR. ELIO,IRON MAN IV/JAMES R.,12
MR. FANTASTIC/REED R,IRON MAN IV/JAMES R.,19
HUMAN TORCH/JOHNNY S,IRON MAN IV/JAMES R.,15
BLACK WIDOW/NATASHA,IRON MAN IV/JAMES R.,17
COLOSSUS II/PETER RA,IRON MAN IV/JAMES R.,16
QUICKSILVER/PIETRO M,IRON MAN IV/JAMES R.,6
VISION,IRON MAN IV/JAMES R.,16
"JARVIS, EDWIN",IRON MAN IV/JAMES R.,11
STARFOX/EROS,IRON MAN IV/JAMES R.,6
SHE-HULK/JENNIFER WA,IRON MAN IV/JAMES R.,21
WONDER MAN/SIMON WIL,IRON MAN IV/JAMES R.,21
SCARLET WITCH/WANDA,IRON MAN IV/JAMES R.,28
"FURY, COL. NICHOLAS",IRON MAN IV/JAMES R.,15
HAWK,IRON MAN IV/JAMES R.,58
MYSTIQUE/RAVEN DARKH,MARVEL GIRL/JEAN GREY,28
MYSTIQUE/RAVEN DARKH,FIRESTAR/ANGELICA JO,6
MYSTIQUE/RAVEN DARKH,DAZZLER II/ALLISON B,8
MYSTIQUE/RAVEN DARKH,BEAST/HENRY &HANK& P,25
MYSTIQUE/RAVEN DARKH,BOOMER/TABITHA SMITH,12
MYSTIQUE/RAVEN DARKH,WONDER MAN/SIMON WIL,5
MYSTIQUE/RAVEN DARKH,BINARY/CAROL DANVERS,6
MYSTIQUE/RAVEN DARKH,SCARLET WITCH/WANDA,5
MYSTIQUE/RAVEN DARKH,"SUMMERS, NATHAN CHRI",11
MYSTIQUE/RAVEN DARKH,ROGUE /,42
MYSTIQUE/RAVEN DARKH,"COOPER, DR. VALERIE",30
MYSTIQUE/RAVEN DARKH,"SUMMERS, MADELYNE MA",8
MYSTIQUE/RAVEN DARKH,"MACTAGGERT, MOIRA KI",17
MYSTIQUE/RAVEN DARKH,CANNONBALL II/SAM GU,11
MYSTIQUE/RAVEN DARKH,AVALANCHE/DOMINIC PE,40
MYSTIQUE/RAVEN DARKH,"TILBY, TRISH/PATRICI",5
MYSTIQUE/RAVEN DARKH,SKIDS/SALLY BLEVINS,11
MYSTIQUE/RAVEN DARKH,WOLFSBANE/RAHNE SINC,13
MYSTIQUE/RAVEN DARKH,LEECH,6
MYSTIQUE/RAVEN DARKH,ANGEL/WARREN KENNETH,25
MYSTIQUE/RAVEN DARKH,MIRAGE II/DANIELLE M,6
MYSTIQUE/RAVEN DARKH,PHOENIX III/RACHEL S,5
MYSTIQUE/RAVEN DARKH,MAGNETO/MAGNUS/ERIC,10
MYSTIQUE/RAVEN DARKH,BLOB/FRED J. DUKES,43
MYSTIQUE/RAVEN DARKH,PROFESSOR X/CHARLES,21
MYSTIQUE/RAVEN DARKH,STORM/ORORO MUNROE S,29
MYSTIQUE/RAVEN DARKH,GAMBIT/REMY LEBEAU,15
MYSTIQUE/RAVEN DARKH,JUBILEE/JUBILATION L,9
MYSTIQUE/RAVEN DARKH,STRONG GUY/GUIDO CAR,6
MYSTIQUE/RAVEN DARKH,SPIRAL,21
MYSTIQUE/RAVEN DARKH,PYRO/ALLERDYCE JOHNN,37
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,41
"GYRICH, HENRY PETER",MYSTIQUE/RAVEN DARKH,7
BANSHEE/SEAN CASSIDY,MYSTIQUE/RAVEN DARKH,5
LEGION II/DAVID HALL,MYSTIQUE/RAVEN DARKH,9
HAVOK/ALEX SUMMERS,MYSTIQUE/RAVEN DARKH,22
PSYLOCKE/ELISABETH B,MYSTIQUE/RAVEN DARKH,17
LONGSHOT,MYSTIQUE/RAVEN DARKH,5
SHADOWCAT/KATHERINE,MYSTIQUE/RAVEN DARKH,18
WOLVERINE/LOGAN,MYSTIQUE/RAVEN DARKH,31
FORGE,MYSTIQUE/RAVEN DARKH,33
NIGHTCRAWLER/KURT WA,MYSTIQUE/RAVEN DARKH,26
COLOSSUS II/PETER RA,MYSTIQUE/RAVEN DARKH,28
CYCLOPS/SCOTT SUMMER,MYSTIQUE/RAVEN DARKH,23
SABRETOOTH/VICTOR CR,MYSTIQUE/RAVEN DARKH,10
TOAD/MORTIMER TOYNBE,MYSTIQUE/RAVEN DARKH,11
JUGGERNAUT/CAIN MARK,MYSTIQUE/RAVEN DARKH,7
"MADDICKS, ARTHUR ART",MYSTIQUE/RAVEN DARKH,7
ICEMAN/ROBERT BOBBY,MYSTIQUE/RAVEN DARKH,25
WARLOCK III,MYSTIQUE/RAVEN DARKH,6
RICTOR/JULIO ESTEBAN,MYSTIQUE/RAVEN DARKH,10
SUNSPOT/ROBERTO DACO,MYSTIQUE/RAVEN DARKH,7
FIREFIST/RUSTY COLLI,MYSTIQUE/RAVEN DARKH,12
BISHOP /,MYSTIQUE/RAVEN DARKH,8
DAYTRIPPER/AMANDA SE,MYSTIQUE/RAVEN DARKH,6
POLARIS/LORNA DANE,MYSTIQUE/RAVEN DARKH,30
WILD CHILD/KYLE GIBN,MYSTIQUE/RAVEN DARKH,13
BLOB/FRED J. DUKES,"NORRISS, SISTER BARB",5
BLOB/FRED J. DUKES,WOLVERINE/LOGAN,19
