Source,Target,Weight
Black Panther / T'chal,"Gyrich, Henry Peter",7
Black Panther / T'chal,Nightcrawler / Kurt Wa,7
Black Panther / T'chal,Angel / Warren Kenneth,11
Black Panther / T'chal,Silver Surfer / Norrin,15
Black Panther / T'chal,She-hulk / Jennifer Wa,32
Ghaur [deviant],Black Panther / T'chal,6
Dr. Doom / Victor Von,Black Panther / T'chal,17
Storm / Ororo Munroe S,Black Panther / T'chal,13
Scarlet Witch / Wanda,Black Panther / T'chal,108
Toad / Mortimer Toynbe,Black Panther / T'chal,5
Hulk / Dr. Robert Bruce Banner,Black Panther / T'chal,27
Firestar / Angelica Jo,Black Panther / T'chal,13
Wonder Man / Simon Wil,Black Panther / T'chal,51
Drax / Arthur Douglas,Black Panther / T'chal,6
"Dugan, Timothy Aloyi",Black Panther / T'chal,9
"Carter, Sharon",Black Panther / T'chal,7
Black Knight V / Dane,Black Panther / T'chal,23
Sunfire / Shiro Yoshid,Black Panther / T'chal,5
Triton,Black Panther / T'chal,9
Ultron,Black Panther / T'chal,15
"Jones, Richard Milho",Black Panther / T'chal,16
Iron Man / Tony Stark,Black Panther / T'chal,120
"Nelson, Franklin Fog",Black Panther / T'chal,7
Captain America,Black Panther / T'chal,131
"Jarvis, Edwin",Black Panther / T'chal,55
Quasar Iii / Wendell V,Black Panther / T'chal,20
"Jameson, J. Jonah",Black Panther / T'chal,7
"Masters, Alicia Reis",Black Panther / T'chal,5
Magneto / Magnus / Eric,Black Panther / T'chal,7
Invisible Woman / Sue,Black Panther / T'chal,39
Professor X / Charles,Black Panther / T'chal,9
Iron Fist / Daniel Ran,Black Panther / T'chal,7
Black Bolt / Blackanto,Black Panther / T'chal,15
Hawk,Black Panther / T'chal,95
Sandman / William Bake,Black Panther / T'chal,5
Falcon / Sam Wilson,Black Panther / T'chal,18
Stingray / Dr. Walter,Black Panther / T'chal,6
Justice Ii / Vance Ast,Black Panther / T'chal,14
Hercules [greek God],Black Panther / T'chal,28
Usagent / Captain John,Black Panther / T'chal,5
Captain Marvel Ii / Mo,Black Panther / T'chal,8
Crystal [inhuman],Black Panther / T'chal,28
Tigra / Greer Nelson,Black Panther / T'chal,16
Spider-woman Ii / Juli,Black Panther / T'chal,5
Machine Man / X-51,Black Panther / T'chal,8
Mockingbird / Dr. Barb,Black Panther / T'chal,6
Captain Marvel / Capta,Black Panther / T'chal,15
Wasp / Janet Van Dyne,Black Panther / T'chal,84
"Fury, Col. Nicholas",Black Panther / T'chal,18
Thor / Dr. Donald Blak,Black Panther / T'chal,103
Quicksilver / Pietro M,Black Panther / T'chal,48
Captain Britain / Bria,Black Panther / T'chal,5
Shadowcat / Katherine,Black Panther / T'chal,5
Black Widow / Natasha,Black Panther / T'chal,44
Ant-man / Dr. Henry J.,Black Panther / T'chal,86
Moon Knight / Marc Spe,Black Panther / T'chal,6
Jocasta,Black Panther / T'chal,10
Moondragon / Heather D,Black Panther / T'chal,21
Thing / Benjamin J. Gr,Black Panther / T'chal,49
Beast / Henry &hank& P,Black Panther / T'chal,44
Iron Man / Tony Stark,Mephisto,11
Iron Man / Tony Stark,Nova / Richard Rider,17
Iron Man / Tony Stark,Wrecker Iii / Dirk Gar,7
Iron Man / Tony Stark,Warlock Ii / Adam Warl,11
Iron Man / Tony Stark,Jack Of Hearts / Jack,20
Iron Man / Tony Stark,Piledriver Ii / Brian,6
Iron Man / Tony Stark,Thunderball / Dr. Elio,7
Iron Man / Tony Stark,Scarlet Witch / Wanda,372
Iron Man / Tony Stark,Binary / Carol Danvers,77
Iron Man / Tony Stark,Ghaur [deviant],7
Iron Man / Tony Stark,Professor X / Charles,29
Iron Man / Tony Stark,Dr. Octopus / Otto Oct,6
Iron Man / Tony Stark,Silver Surfer / Norrin,42
Iron Man / Tony Stark,"Banner, Betty Ross T",16
Iron Man / Tony Stark,Avalanche / Dominic Pe,6
Iron Man / Tony Stark,Attuma,9
Iron Man / Tony Stark,Hela [asgardian],7
Iron Man / Tony Stark,Nightcrawler / Kurt Wa,16
Iron Man / Tony Stark,Angel / Warren Kenneth,32
Iron Man / Tony Stark,"Nelson, Franklin Fog",7
Iron Man / Tony Stark,Doc Samson / Dr. Leona,13
Iron Man / Tony Stark,Guardian / James Macdo,5
Iron Man / Tony Stark,Storm / Ororo Munroe S,22
Iron Man / Tony Stark,Northstar / Jean-paul,5
Iron Man / Tony Stark,"Dugan, Timothy Aloyi",36
Iron Man / Tony Stark,Captain Britain / Bria,7
Iron Man / Tony Stark,Captain Marvel / Capta,36
Iron Man / Tony Stark,Dr. Druid / Anthony Lu,12
Iron Man / Tony Stark,"Watson-parker, Mary",9
Iron Man / Tony Stark,Sunfire / Shiro Yoshid,17
Iron Man / Tony Stark,Mystique / Raven Darkh,5
Iron Man / Tony Stark,Pyro / Allerdyce Johnn,6
Iron Man / Tony Stark,Destiny Ii / Irene Adl,5
Iron Man / Tony Stark,Mister Hyde / Calvin Z,6
Iron Man / Tony Stark,She-hulk / Jennifer Wa,93
Iron Man / Tony Stark,"Jarvis, Edwin",183
Iron Man / Tony Stark,Ghost Rider Ii / Johnn,8
Iron Man / Tony Stark,Lockjaw [inhuman],13
Iron Man / Tony Stark,Mole Man / Harvey Rupe,11
Iron Man / Tony Stark,Wasp / Janet Van Dyne,301
Iron Man / Tony Stark,Firelord / Pyreus Kril,8
Iron Man / Tony Stark,Starfox / Eros,30
Iron Man / Tony Stark,Leader / Sam Sterns,8
Iron Man / Tony Stark,Firestar / Angelica Jo,42
Iron Man / Tony Stark,"Le Fey, Morgan",5
Iron Man / Tony Stark,Bulldozer / Henry Camp,6
Iron Man / Tony Stark,Forgotten One / Gilgam,5
Iron Man / Tony Stark,Mr. Fantastic / Reed R,128
Iron Man / Tony Stark,Balder [asgardian],8
Iron Man / Tony Stark,Hogun [asgardian],7
Iron Man / Tony Stark,Hellstorm / Daimon Hel,7
Iron Man / Tony Stark,Aurora / Jeanne-marie,5
Iron Man / Tony Stark,Thor / Dr. Donald Blak,344
Iron Man / Tony Stark,"O'brien, Michael",29
Iron Man / Tony Stark,"Stankowicz, Fabian",8
Iron Man / Tony Stark,Screaming Mimi / Melis,8
Iron Man / Tony Stark,Moonstone Ii / Karla S,8
Iron Man / Tony Stark,Fixer Ii / Paul Norber,7
Iron Man / Tony Stark,Darkstar / Laynia Serg,15
Iron Man / Tony Stark,Vanguard / Nicolai Kry,12
Iron Man / Tony Stark,Daredevil / Matt Murdo,53
Iron Man / Tony Stark,Gamora,5
Iron Man / Tony Stark,Psylocke / Elisabeth B,10
Iron Man / Tony Stark,Rogue  / ,11
Iron Man / Tony Stark,Human Torch / Johnny S,108
Iron Man / Tony Stark,Hellcat / Patsy Walker,29
Iron Man / Tony Stark,"Norriss, Sister Barb",18
Iron Man / Tony Stark,Sandman / William Bake,17
Iron Man / Tony Stark,Sasquatch / Walter Lan,9
Iron Man / Tony Stark,Colossus Ii / Peter Ra,17
Iron Man / Tony Stark,"Masters, Alicia Reis",19
Iron Man / Tony Stark,Luna / Luna Maximoff [,9
Iron Man / Tony Stark,"Jones, Richard Milho",58
Iron Man / Tony Stark,Ultron,33
Iron Man / Tony Stark,Whizzer Ii / Stanley S,10
Iron Man / Tony Stark,Dr. Spectrum / Joseph,10
Iron Man / Tony Stark,Demolition Man / Denni,7
Iron Man / Tony Stark,Captain America,446
Iron Man / Tony Stark,Kingpin / Wilson Fisk,6
Iron Man / Tony Stark,Rage / Elvin Daryl Hal,16
Iron Man / Tony Stark,Ant-man Ii / Scott Har,27
Iron Man / Tony Stark,Thanos,20
Iron Man / Tony Stark,Clea,6
Iron Man / Tony Stark,Polaris / Lorna Dane,5
Iron Man / Tony Stark,"De La Fontaine, Cont",10
Iron Man / Tony Stark,Heimdall [asgardian],7
Iron Man / Tony Stark,Uatu,16
Iron Man / Tony Stark,Collector / Taneleer T,14
Iron Man / Tony Stark,"Gyrich, Henry Peter",24
Iron Man / Tony Stark,Wonder Man / Simon Wil,249
Iron Man / Tony Stark,Justice Ii / Vance Ast,36
Iron Man / Tony Stark,Vision,333
Iron Man / Tony Stark,Red Skull / Johann Sch,7
Iron Man / Tony Stark,"Thompson, Eugene Fla",5
Iron Man / Tony Stark,Wong,11
Iron Man / Tony Stark,"Parker, May",9
Iron Man / Tony Stark,Green Goblin / Norman,7
Iron Man / Tony Stark,Sub-mariner / Namor Ma,71
Iron Man / Tony Stark,Spider-man / Peter Parker,94
Iron Man / Tony Stark,Hercules [greek God],79
Iron Man / Tony Stark,Death,11
Iron Man / Tony Stark,Night Thrasher / Duane,5
Iron Man / Tony Stark,Eternity / Adam Qadmon,8
Iron Man / Tony Stark,Wolverine / Logan,33
Iron Man / Tony Stark,Galactus / Galan,15
Triathlon / Delroy Gar,Iron Man / Tony Stark,30
"Cage, Luke / Carl Luca",Iron Man / Tony Stark,19
Spider-woman Ii / Juli,Iron Man / Tony Stark,62
Beetle / Abner Ronald,Iron Man / Tony Stark,17
"Jameson, J. Jonah",Iron Man / Tony Stark,27
Lilandra Neramani [s,Iron Man / Tony Stark,6
Thing / Benjamin J. Gr,Iron Man / Tony Stark,129
Hawk,Iron Man / Tony Stark,294
Jocasta,Iron Man / Tony Stark,50
Ant-man / Dr. Henry J.,Iron Man / Tony Stark,291
Mockingbird / Dr. Barb,Iron Man / Tony Stark,74
"Carter, Sharon",Iron Man / Tony Stark,16
Odin [asgardian],Iron Man / Tony Stark,17
Black Knight V / Dane,Iron Man / Tony Stark,50
Triton,Iron Man / Tony Stark,12
"Hogan, Virginia Pepp",Iron Man / Tony Stark,117
Dr. Doom / Victor Von,Iron Man / Tony Stark,40
Invisible Woman / Sue,Iron Man / Tony Stark,114
Mad Dog / Colonel Buzz,Iron Man / Tony Stark,9
"Kincaid, Dr. Jane Fo",Iron Man / Tony Stark,20
Wizard / Bentley Wittm,Iron Man / Tony Stark,7
Nighthawk Ii / Kyle Ri,Iron Man / Tony Stark,13
Mantis / ? Brandt,Iron Man / Tony Stark,38
Swordsman / Jacques Du,Iron Man / Tony Stark,36
Charcoal / Charlie Bur,Iron Man / Tony Stark,6
Hulk / Dr. Robert Bruce Banner,Iron Man / Tony Stark,85
Toad / Mortimer Toynbe,Iron Man / Tony Stark,5
Blob / Fred J. Dukes,Iron Man / Tony Stark,8
Cloak / Tyrone Johnson,Iron Man / Tony Stark,6
Thunderstrike / Eric K,Iron Man / Tony Stark,21
Power Man / Erik Joste,Iron Man / Tony Stark,19
Human Torch Android / ,Iron Man / Tony Stark,25
Juggernaut / Cain Mark,Iron Man / Tony Stark,5
Cyclops / Scott Summer,Iron Man / Tony Stark,28
Iceman / Robert Bobby,Iron Man / Tony Stark,26
Pharaoh Rama-tut,Iron Man / Tony Stark,41
Marvel Girl / Jean Grey,Iron Man / Tony Stark,23
Karnak [inhuman],Iron Man / Tony Stark,10
Dr. Strange / Stephen,Iron Man / Tony Stark,52
Absorbing Man / Carl C,Iron Man / Tony Stark,5
Redwing,Iron Man / Tony Stark,17
Drax / Arthur Douglas,Iron Man / Tony Stark,18
Volstagg,Iron Man / Tony Stark,5
Shaman / Michael Twoyo,Iron Man / Tony Stark,7
Snowbird / Narya / Anne,Iron Man / Tony Stark,5
Dagger / Tandy Bowen,Iron Man / Tony Stark,6
Phoenix Iii / Rachel S,Iron Man / Tony Stark,6
Shadowcat / Katherine,Iron Man / Tony Stark,15
Usagent / Captain John,Iron Man / Tony Stark,87
Mandarin,Iron Man / Tony Stark,65
Fandral [asgardian],Iron Man / Tony Stark,8
Ms. Marvel Ii / Sharon,Iron Man / Tony Stark,7
Pip / Prince Gofern,Iron Man / Tony Stark,7
Enchantress / Amora / He,Iron Man / Tony Stark,19
"Jameson, Col. John",Iron Man / Tony Stark,6
"Cooper, Dr. Valerie",Iron Man / Tony Stark,6
Nova Ii / Frankie Raye,Iron Man / Tony Stark,6
Darkhawk / Chris Powel,Iron Man / Tony Stark,7
Medusa / Medusalith Am,Iron Man / Tony Stark,15
Nomad Iii / Jack Monro,Iron Man / Tony Stark,5
"Robertson, Joe",Iron Man / Tony Stark,9
"Fury, Col. Nicholas",Iron Man / Tony Stark,90
Gorgon [inhuman],Iron Man / Tony Stark,11
Gargoyle Ii / Isaac Ch,Iron Man / Tony Stark,7
Iron Fist / Daniel Ran,Iron Man / Tony Stark,15
Black Bolt / Blackanto,Iron Man / Tony Stark,14
Namorita / Nita Prenti,Iron Man / Tony Stark,15
Iron Man Iv / James R.,Iron Man / Tony Stark,189
"Ross, Gen. Thaddeus",Iron Man / Tony Stark,16
"Harkness, Agatha",Iron Man / Tony Stark,24
"Carter, Peggy",Iron Man / Tony Stark,9
"Richards, Franklin B",Iron Man / Tony Stark,27
Machine Man / X-51,Iron Man / Tony Stark,14
Stingray / Dr. Walter,Iron Man / Tony Stark,7
Firebird / Bonita Juar,Iron Man / Tony Stark,24
Sersi / Sylvia,Iron Man / Tony Stark,37
Crystal [inhuman],Iron Man / Tony Stark,44
Captain Marvel Ii / Mo,Iron Man / Tony Stark,43
Beast / Henry &hank& P,Iron Man / Tony Stark,142
Quicksilver / Pietro M,Iron Man / Tony Stark,110
Hyperion,Iron Man / Tony Stark,10
Falcon / Sam Wilson,Iron Man / Tony Stark,44
Quasar Iii / Wendell V,Iron Man / Tony Stark,43
Living Lightning / Mig,Iron Man / Tony Stark,35
Magneto / Magnus / Eric,Iron Man / Tony Stark,14
"Jones, Gabe",Iron Man / Tony Stark,21
"Osborn, Liz Allan",Iron Man / Tony Stark,5
"Leeds, Betty Brant",Iron Man / Tony Stark,6
Loki [asgardian],Iron Man / Tony Stark,28
Sif,Iron Man / Tony Stark,9
Black Widow / Natasha,Iron Man / Tony Stark,94
Moon Knight / Marc Spe,Iron Man / Tony Stark,18
Moondragon / Heather D,Iron Man / Tony Stark,50
Dazzler Ii / Allison B,Iron Man / Tony Stark,8
Molecule Man / Owen Re,Iron Man / Tony Stark,5
Speedball / Robbie Bal,Iron Man / Tony Stark,9
Tigra / Greer Nelson,Iron Man / Tony Stark,87
Iron Man Iv / James R.,Magneto / Magnus / Eric,13
Iron Man Iv / James R.,Dr. Octopus / Otto Oct,11
Iron Man Iv / James R.,Molecule Man / Owen Re,11
Iron Man Iv / James R.,Captain Marvel Ii / Mo,21
Iron Man Iv / James R.,Wolverine / Logan,15
Iron Man Iv / James R.,Professor X / Charles,15
Iron Man Iv / James R.,Pharaoh Rama-tut,7
Iron Man Iv / James R.,Galactus / Galan,12
Iron Man Iv / James R.,Dr. Doom / Victor Von,16
Iron Man Iv / James R.,Usagent / Captain John,21
Iron Man Iv / James R.,Wasp / Janet Van Dyne,27
Iron Man Iv / James R.,"Hogan, Virginia Pepp",20
Iron Man Iv / James R.,Living Lightning / Mig,7
Iron Man Iv / James R.,Captain America,37
Iron Man Iv / James R.,Ant-man Ii / Scott Har,15
Iron Man Iv / James R.,Sub-mariner / Namor Ma,5
Iron Man Iv / James R.,Shadowcat / Katherine,5
Iron Man Iv / James R.,Jocasta,7
Iron Man Iv / James R.,Binary / Carol Danvers,5
Iron Man Iv / James R.,Invisible Woman / Sue,6
Iron Man Iv / James R.,Hercules [greek God],5
Iron Man Iv / James R.,Rogue  / ,17
Iron Man Iv / James R.,Beetle / Abner Ronald,8
Iron Man Iv / James R.,"Gyrich, Henry Peter",5
Iron Man Iv / James R.,Daredevil / Matt Murdo,5
Iron Man Iv / James R.,Spider-woman Ii / Juli,25
Spider-man / Peter Parker,Iron Man Iv / James R.,17
Hulk / Dr. Robert Bruce Banner,Iron Man Iv / James R.,16
Enchantress / Amora / He,Iron Man Iv / James R.,10
Lizard / Dr. Curtis Co,Iron Man Iv / James R.,13
Thing / Benjamin J. Gr,Iron Man Iv / James R.,14
Ant-man / Dr. Henry J.,Iron Man Iv / James R.,11
Tigra / Greer Nelson,Iron Man Iv / James R.,16
Mockingbird / Dr. Barb,Iron Man Iv / James R.,19
Mandarin,Iron Man Iv / James R.,31
Storm / Ororo Munroe S,Iron Man Iv / James R.,13
Absorbing Man / Carl C,Iron Man Iv / James R.,12
Volcana / Marsha Rosen,Iron Man Iv / James R.,9
Lockheed,Iron Man Iv / James R.,6
Klaw / Ulysses Klaw,Iron Man Iv / James R.,7
Cyclops / Scott Summer,Iron Man Iv / James R.,12
Wrecker Iii / Dirk Gar,Iron Man Iv / James R.,12
Ultron,Iron Man Iv / James R.,10
Titania Ii / Mary Skee,Iron Man Iv / James R.,9
Piledriver Ii / Brian,Iron Man Iv / James R.,11
Nightcrawler / Kurt Wa,Iron Man Iv / James R.,17
Bulldozer / Henry Camp,Iron Man Iv / James R.,10
Beast / Henry &hank& P,Iron Man Iv / James R.,6
Angel / Warren Kenneth,Iron Man Iv / James R.,5
Thor / Dr. Donald Blak,Iron Man Iv / James R.,23
Thunderball / Dr. Elio,Iron Man Iv / James R.,12
Mr. Fantastic / Reed R,Iron Man Iv / James R.,19
Human Torch / Johnny S,Iron Man Iv / James R.,15
Black Widow / Natasha,Iron Man Iv / James R.,17
Colossus Ii / Peter Ra,Iron Man Iv / James R.,16
Quicksilver / Pietro M,Iron Man Iv / James R.,6
Vision,Iron Man Iv / James R.,16
"Jarvis, Edwin",Iron Man Iv / James R.,11
Starfox / Eros,Iron Man Iv / James R.,6
She-hulk / Jennifer Wa,Iron Man Iv / James R.,21
Wonder Man / Simon Wil,Iron Man Iv / James R.,21
Scarlet Witch / Wanda,Iron Man Iv / James R.,28
"Fury, Col. Nicholas",Iron Man Iv / James R.,15
Hawk,Iron Man Iv / James R.,58
Mystique / Raven Darkh,Marvel Girl / Jean Grey,28
Mystique / Raven Darkh,Firestar / Angelica Jo,6
Mystique / Raven Darkh,Dazzler Ii / Allison B,8
Mystique / Raven Darkh,Beast / Henry &hank& P,25
Mystique / Raven Darkh,Boomer / Tabitha Smith,12
Mystique / Raven Darkh,Wonder Man / Simon Wil,5
Mystique / Raven Darkh,Binary / Carol Danvers,6
Mystique / Raven Darkh,Scarlet Witch / Wanda,5
Mystique / Raven Darkh,"Summers, Nathan Chri",11
Mystique / Raven Darkh,Rogue  / ,42
Mystique / Raven Darkh,"Cooper, Dr. Valerie",30
Mystique / Raven Darkh,"Summers, Madelyne Ma",8
Mystique / Raven Darkh,"Mactaggert, Moira Ki",17
Mystique / Raven Darkh,Cannonball Ii / Sam Gu,11
Mystique / Raven Darkh,Avalanche / Dominic Pe,40
Mystique / Raven Darkh,"Tilby, Trish / Patrici",5
Mystique / Raven Darkh,Skids / Sally Blevins,11
Mystique / Raven Darkh,Wolfsbane / Rahne Sinc,13
Mystique / Raven Darkh,Leech,6
Mystique / Raven Darkh,Angel / Warren Kenneth,25
Mystique / Raven Darkh,Mirage Ii / Danielle M,6
Mystique / Raven Darkh,Phoenix Iii / Rachel S,5
Mystique / Raven Darkh,Magneto / Magnus / Eric,10
Mystique / Raven Darkh,Blob / Fred J. Dukes,43
Mystique / Raven Darkh,Professor X / Charles,21
Mystique / Raven Darkh,Storm / Ororo Munroe S,29
Mystique / Raven Darkh,Gambit / Remy Lebeau,15
Mystique / Raven Darkh,Jubilee / Jubilation L,9
Mystique / Raven Darkh,Strong Guy / Guido Car,6
Mystique / Raven Darkh,Spiral,21
Mystique / Raven Darkh,Pyro / Allerdyce Johnn,37
Mystique / Raven Darkh,Destiny Ii / Irene Adl,41
"Gyrich, Henry Peter",Mystique / Raven Darkh,7
Banshee / Sean Cassidy,Mystique / Raven Darkh,5
Legion Ii / David Hall,Mystique / Raven Darkh,9
Havok / Alex Summers,Mystique / Raven Darkh,22
Psylocke / Elisabeth B,Mystique / Raven Darkh,17
Longshot,Mystique / Raven Darkh,5
Shadowcat / Katherine,Mystique / Raven Darkh,18
Wolverine / Logan,Mystique / Raven Darkh,31
Forge,Mystique / Raven Darkh,33
Nightcrawler / Kurt Wa,Mystique / Raven Darkh,26
Colossus Ii / Peter Ra,Mystique / Raven Darkh,28
Cyclops / Scott Summer,Mystique / Raven Darkh,23
Sabretooth / Victor Cr,Mystique / Raven Darkh,10
Toad / Mortimer Toynbe,Mystique / Raven Darkh,11
Juggernaut / Cain Mark,Mystique / Raven Darkh,7
"Maddicks, Arthur Art",Mystique / Raven Darkh,7
Iceman / Robert Bobby,Mystique / Raven Darkh,25
Warlock Iii,Mystique / Raven Darkh,6
Rictor / Julio Esteban,Mystique / Raven Darkh,10
Sunspot / Roberto Daco,Mystique / Raven Darkh,7
Firefist / Rusty Colli,Mystique / Raven Darkh,12
Bishop  / ,Mystique / Raven Darkh,8
Daytripper / Amanda Se,Mystique / Raven Darkh,6
Polaris / Lorna Dane,Mystique / Raven Darkh,30
Wild Child / Kyle Gibn,Mystique / Raven Darkh,13
Blob / Fred J. Dukes,"Norriss, Sister Barb",5
Blob / Fred J. Dukes,Wolverine / Logan,19
Blob / Fred J. Dukes,Angel / Warren Kenneth,24
Blob / Fred J. Dukes,Cannonball Ii / Sam Gu,13
Blob / Fred J. Dukes,Thunderbird Ii / James,6
Blob / Fred J. Dukes,Spider-man / Peter Parker,6
Blob / Fred J. Dukes,Destiny Ii / Irene Adl,28
Blob / Fred J. Dukes,Captain America,9
Blob / Fred J. Dukes,Forge,7
Blob / Fred J. Dukes,Havok / Alex Summers,17
Blob / Fred J. Dukes,Hercules [greek God],6
Blob / Fred J. Dukes,Nighthawk Ii / Kyle Ri,5
Blob / Fred J. Dukes,Nightcrawler / Kurt Wa,17
Blob / Fred J. Dukes,Quicksilver / Pietro M,7
Blob / Fred J. Dukes,Toad / Mortimer Toynbe,20
Blob / Fred J. Dukes,Thor / Dr. Donald Blak,5
Blob / Fred J. Dukes,"Gyrich, Henry Peter",6
Blob / Fred J. Dukes,Hulk / Dr. Robert Bruce Banner,5
Blob / Fred J. Dukes,Spider-woman Ii / Juli,5
Blob / Fred J. Dukes,Skids / Sally Blevins,11
Blob / Fred J. Dukes,Wolfsbane / Rahne Sinc,10
Blob / Fred J. Dukes,"Summers, Nathan Chri",12
Blob / Fred J. Dukes,"Mactaggert, Moira Ki",8
Blob / Fred J. Dukes,Hawk,6
Blob / Fred J. Dukes,"Cooper, Dr. Valerie",12
Blob / Fred J. Dukes,Gambit / Remy Lebeau,5
Sauron / Dr. Karl Lyko,Blob / Fred J. Dukes,12
Beast / Henry &hank& P,Blob / Fred J. Dukes,29
Usagent / Captain John,Blob / Fred J. Dukes,5
Spiral,Blob / Fred J. Dukes,18
Psylocke / Elisabeth B,Blob / Fred J. Dukes,9
"Summers, Madelyne Ma",Blob / Fred J. Dukes,7
Pyro / Allerdyce Johnn,Blob / Fred J. Dukes,52
Longshot,Blob / Fred J. Dukes,5
Dazzler Ii / Allison B,Blob / Fred J. Dukes,6
Colossus Ii / Peter Ra,Blob / Fred J. Dukes,18
Polaris / Lorna Dane,Blob / Fred J. Dukes,14
Vision,Blob / Fred J. Dukes,5
Falcon / Sam Wilson,Blob / Fred J. Dukes,6
Leech,Blob / Fred J. Dukes,6
Magneto / Magnus / Eric,Blob / Fred J. Dukes,13
Sunspot / Roberto Daco,Blob / Fred J. Dukes,8
Siryn / Theresa Rourke,Blob / Fred J. Dukes,5
Shatterstar Ii / Gavee,Blob / Fred J. Dukes,5
Boomer / Tabitha Smith,Blob / Fred J. Dukes,16
"Maddicks, Arthur Art",Blob / Fred J. Dukes,7
Rictor / Julio Esteban,Blob / Fred J. Dukes,10
Warlock Iii,Blob / Fred J. Dukes,7
Mirage Ii / Danielle M,Blob / Fred J. Dukes,5
Firefist / Rusty Colli,Blob / Fred J. Dukes,11
Avalanche / Dominic Pe,Blob / Fred J. Dukes,44
Scarlet Witch / Wanda,Blob / Fred J. Dukes,8
Professor X / Charles,Blob / Fred J. Dukes,27
Storm / Ororo Munroe S,Blob / Fred J. Dukes,16
Marrow / Sarah,Blob / Fred J. Dukes,5
Shadowcat / Katherine,Blob / Fred J. Dukes,16
Marvel Girl / Jean Grey,Blob / Fred J. Dukes,27
Cyclops / Scott Summer,Blob / Fred J. Dukes,25
Iceman / Robert Bobby,Blob / Fred J. Dukes,24
Rogue  / ,Blob / Fred J. Dukes,18
Pyro / Allerdyce Johnn,"Summers, Nathan Chri",8
Pyro / Allerdyce Johnn,Captain America,6
Pyro / Allerdyce Johnn,Usagent / Captain John,5
Pyro / Allerdyce Johnn,"Summers, Madelyne Ma",7
Pyro / Allerdyce Johnn,Leech,5
Pyro / Allerdyce Johnn,Forge,6
Pyro / Allerdyce Johnn,Boomer / Tabitha Smith,11
Pyro / Allerdyce Johnn,Iceman / Robert Bobby,9
Pyro / Allerdyce Johnn,Skids / Sally Blevins,10
Pyro / Allerdyce Johnn,Warlock Iii,7
Pyro / Allerdyce Johnn,Rictor / Julio Esteban,9
Pyro / Allerdyce Johnn,Mirage Ii / Danielle M,5
Pyro / Allerdyce Johnn,Wolfsbane / Rahne Sinc,8
Pyro / Allerdyce Johnn,Sunspot / Roberto Daco,7
"Mactaggert, Moira Ki",Pyro / Allerdyce Johnn,7
Toad / Mortimer Toynbe,Pyro / Allerdyce Johnn,7
Feral / Maria Callasan,Pyro / Allerdyce Johnn,5
Quicksilver / Pietro M,Pyro / Allerdyce Johnn,8
"Cooper, Dr. Valerie",Pyro / Allerdyce Johnn,10
Psylocke / Elisabeth B,Pyro / Allerdyce Johnn,7
Wolverine / Logan,Pyro / Allerdyce Johnn,13
Longshot,Pyro / Allerdyce Johnn,5
Dazzler Ii / Allison B,Pyro / Allerdyce Johnn,5
Sauron / Dr. Karl Lyko,Pyro / Allerdyce Johnn,7
Scarlet Witch / Wanda,Pyro / Allerdyce Johnn,6
Colossus Ii / Peter Ra,Pyro / Allerdyce Johnn,13
Havok / Alex Summers,Pyro / Allerdyce Johnn,7
Destiny Ii / Irene Adl,Pyro / Allerdyce Johnn,28
