Source,Target,Weight,Relationship,Citation
Donald J. Trump,Allen Weisselberg,1,"""One of Donald Trump's longtime confidants,"" per the Wall Street Journal",http://blogs.wsj.com/cfo/2016/11/05/donald-trumps-loyal-numbers-man/
Donald J. Trump,Eric Ueland,1,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Donald J. Trump,Ado Machida,1,Director of policy implementation for Trump transition team,http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/ | https://www.linkedin.com/in/ado-machida-68a9a64
Donald J. Trump,Thomas J. Barrack Jr.,1,Inauguration committee chairman,https://www.donaldjtrump.com/press-releases/president-elect-trump-announces-presidentialinaugural-committee-leader
Donald J. Trump,Mehmet Ali Yalcindag,1,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
Donald J. Trump,Victor Pinchuk,1,Trump made video appearance for Pinchuk's convention,https://www.buzzfeed.com/paulmcleod/trump-foundation-received-150000-donation-in-exchange-for-20?utm_term=.wtQZdJa2V#.llzLxNkYw
Donald J. Trump,Russ Vought,1,Part of OMB transition team,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Donald J. Trump,Mike Baselice,1,Pollster for Trump's presidential campaign,https://www.texastribune.org/2016/07/01/trump-campaign-turns-texas-political-talent/
Donald J. Trump,Dan Coats,1,Director of National Intelligence,General knowledge
Donald J. Trump,Oleg Miserva,1,Miserva bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
Donald J. Trump,Michael Flynn,1,National Security Advisor,General knowledge
Donald J. Trump,John Mcentee,1,Personal aide to the President,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Donald J. Trump,Betsy Devos,1,Secretary of Education,General knowledge
Donald J. Trump,Helen Ferre,1,Director media affairs,https://www.documentcloud.org/documents/3534068-Ferre-Helen.html
Donald J. Trump,Andrew Bremberg,1,Domestic policy advisor,General knowledge
Donald J. Trump,Alexander Angelson,1,Special assistant,https://www.documentcloud.org/documents/3534231-Angelson-Alexander.html
Donald J. Trump,Scott Pruitt,1,Administrator of the Environmental Protection Agency,General knowledge
Donald J. Trump,Jason D. Greenblatt,1,Special Representative for International Negotiations,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
Donald J. Trump,Wells Griffith,1,"Battleground states director for Trump campaign, senior adviser for the Department of Energy",http://www.politico.com/story/2017/01/trumps-shadow-cabinet-234088 | https://www.documentcloud.org/documents/3460899-Wells-Griffith-LinkedIn-2017-02-13.html
Donald J. Trump,Jeff Sessions,1,Attorney General,General knowledge
Donald J. Trump,Shahira Knight,1,Special assistant,https://www.documentcloud.org/documents/3534038-Knight-Shahira-E.html
Donald J. Trump,Cliff Sims,1,Director of White House message strategy,https://www.documentcloud.org/documents/3534339-Sims-Cliff.html
Donald J. Trump,Marc E. Kasowitz,1,"Has represented ""President Donald J. Trump in a wide range of litigation matters for over 15 years,"" per bio",http://www.kasowitz.com/marc-e-kasowitz/
Donald J. Trump,Indra Nooyi,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Donald J. Trump,Reed S. Cordish,1,Assistant to the President for intragovernmental and technology initiatives,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
Donald J. Trump,Kathryn Talento,1,Special advisor,https://www.documentcloud.org/documents/3534341-Talento-Kathryn.html
Donald J. Trump,Stephen B. Meister,1,Meister was Trump's attorney during a 2013 ethics suit of the NY AG,http://www.nydailynews.com/blogs/dailypolitics/donald-trump-set-file-ethics-complaint-tuesday-ny-ag-eric-schneiderman-blog-entry-1.1697386 | http://www.newsweek.com/2015/10/30/trumps-big-atlantic-city-dump-385427.html
Donald J. Trump,Emin Agalarov,1,"The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | https://www.youtube.com/watch?v=iuZUNjFsgS8
Donald J. Trump,Melania Trump,1,Married,General knowledge
Donald J. Trump,Stephen Miller,1,Senior Advisor to the President for Policy,General knowledge
Donald J. Trump,Ryan Zinke,1,Secretary of Interior,General knowledge
Donald J. Trump,Alexander Acosta,1,Nominee for Labor Secretary,http://abcnews.go.com/Politics/alexander-acosta-trumps-labor-secretary-nominee/story?id=45541559
Donald J. Trump,Prince Alwaleed Bin Talalthe,1,"""the billionaire [...] aided Trump during his corporate bankruptcies in the 1990s by purchasing his yacht, which provided him with desperately needed cash,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Donald J. Trump,Sam Clovis,1,Former senior policy advisor on campaign,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Donald J. Trump,Michael Fascitelli,1,Fascitelli is CEO of Vornado Realty Trust and donated the maximum to Trump's campaign,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
Donald J. Trump,Travis Kalanick,1,Former member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/ | http://www.recode.net/2017/2/2/14490950/travis-kalanick-uber-ceo-leaves-donald-trump-advisory-council
Donald J. Trump,Joyce Meyer,1,Deputy assistant,https://www.documentcloud.org/documents/3534156-Meyer-Joyce-Y.html
Donald J. Trump,Ashley Marquis,1,Chief of staff of the National Economic Council,https://www.documentcloud.org/documents/3534134-Marquis-Ashley.html
Donald J. Trump,Phil Ruffin,1,"""Mr. Trump has 20-odd business partners, but none is closer to him than Mr. Ruffin,"" per the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Donald J. Trump,Elon Musk,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Donald J. Trump,Christopher Ruddy,1,"""One of Trump's longtime friends,"" according to the Washington Post",https://www.washingtonpost.com/news/powerpost/wp/2017/02/12/trump-friend-says-priebus-is-in-way-over-his-head/ | http://www.politico.com/story/2017/02/donald-trump-challenges-governing-presidency-234879
Donald J. Trump,Sonny Perdue,1,Secretary of Agriculture,https://www.nytimes.com/2017/01/18/us/politics/sonny-perdue-agriculture-secretary.html
Donald J. Trump,Paul Manafort,1,Former campaign manager,http://www.cnn.com/2016/08/19/politics/donald-trump-campaign-chairman-paul-manafort-resigns/
Donald J. Trump,Edwin Feulner,1,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Donald J. Trump,Linda Mcmahon,1,Administrator of the Small Business Administration,General knowledge
Donald J. Trump,Julia Hahn,1,Deputy political strategist,https://www.documentcloud.org/documents/3534111-Hahn-Julia.html
Donald J. Trump,John F. Kelly,1,Secretary of Department of Homeland Security,General knowledge
Donald J. Trump,Elaine Chao,1,Secretary of Transportation,General knowledge
Donald J. Trump,Dina Powell,1,Assistant to the president and senior counselor for economic initiatives,https://www.bloomberg.com/politics/articles/2017-01-12/goldman-sachs-s-dina-powell-named-as-trump-s-economic-assistant
Donald J. Trump,Robert Lighthizer,1,Nominee for U.S. Trade Representative,General knowledge
Donald J. Trump,Curtis Dubay,1,Part of Treasury Department transition team,http://thehill.com/policy/finance/307066-trump-taps-economists-investors-for-transition-team
Donald J. Trump,Tom Bossert,1,Homeland Security Advisor,General knowledge
Donald J. Trump,Corey Lewandowski,1,Former campaign manager,http://www.politico.com/blogs/on-media/2017/01/corey-lewandowski-joins-conservative-news-network-as-commentator-233559
Donald J. Trump,Michael Pompeo,1,Director of CIA,General knowledge
Donald J. Trump,Reince Priebus,1,White House Chief of Staff,General knowledge
Donald J. Trump,Jennifer Korn,1,Deputy director,https://www.documentcloud.org/documents/3534039-Korn-Jennifer.html
Donald J. Trump,Sam Nunberg,1,Former adviser,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
Donald J. Trump,Andeliz Castillo,1,Special assistant,https://www.documentcloud.org/documents/3534453-Castillo-Andeliz.html
Donald J. Trump,Ivanka Trump,1,Parent/child,General knowledge
Donald J. Trump,Edwin Meese,1,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Donald J. Trump,Brian Burns,1,Ambassador to Ireland,https://www.bostonglobe.com/news/politics/2017/01/11/donald-trump-taps-mar-lago-pal-with-massachusetts-ties-for-irish-ambassador-brian-burns/Jt2g5aX1CeVvA3O4RbrDMN/story.html
Donald J. Trump,Donald Trump Jr.,1,Parent/child,General knowledge
Donald J. Trump,Michael J. Ellis,1,Special assistant,https://www.documentcloud.org/documents/3534059-Ellis-Michael-J.html
Donald J. Trump,John Eisenberg,1,Deputy assistant,https://www.whitehouse.gov/the-press-office/2017/02/02/white-house-national-security-advisor-announces-nsc-senior-staff-0
Donald J. Trump,Thomas Pyle,1,Head of the Department of Energy transition team,http://www.latimes.com/politics/la-na-pol-trump-kochs-climate-20161205-story.html
Donald J. Trump,Uttam Dhillon,1,Special assistant,https://www.documentcloud.org/documents/3534050-Dhillon-Uttam.html
Donald J. Trump,Terry Branstad,1,Nominee for Ambassador to China,General knowledge
Donald J. Trump,Jamie Dimon,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Donald J. Trump,Raj Shah,1,Deputy communications director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Donald J. Trump,Ben Howard,1,Special assistant,https://www.documentcloud.org/documents/3534135-Howard-Benjamin.html
Donald J. Trump,Sarah Makin,1,Deputy assistant,https://www.documentcloud.org/documents/3535103-Makin-Sarah.html
Donald J. Trump,Robert Mercer,1,Major donor,https://www.publicintegrity.org/2016/12/02/20504/what-we-knew-about-donald-trump-s-inner-circle-when-we-knew-it
Donald J. Trump,Rick Dearborn,1,Deputy chief of staff for legislative and intergovernmental affairs,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Donald J. Trump,Timothy Pataki,1,Special assistant,https://www.documentcloud.org/documents/3534160-Pataki-Timothy-a-New-Entrant-278-2017.html
Donald J. Trump,Jason D. Meister,1,"Worked on Trump's NY campaign, goes on Fox News as a Trump surrogate",https://therealdeal.com/issues_articles/whos-jumping-ship/ | http://www.jasondmeister.com/media/
Donald J. Trump,Bill Mcginley,1,Deputy assistant,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Donald J. Trump,Barry Bennett,1,"""Informal advisor to the Donald Trump campaign,"" per the Washington Post",https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
Donald J. Trump,Chris Christie,1,Former leader of the presidential transition team,https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Donald J. Trump,Elena Gorlova,1,Gorlova bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
Carl C. Icahn,Donald J. Trump,1,Special advisor,http://fortune.com/2016/12/21/donald-trump-carl-icahn-special-adviser-regulations/
Jarrod P. Agen,Donald J. Trump,1,Deputy assistant,https://www.documentcloud.org/documents/3534451-Agen-Jarrod.html
Carter Page,Donald J. Trump,1,Foreign policy adviser,General knowledge
Newt Gingrich,Donald J. Trump,1,"A top touchstone outside the White House, according to the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Christine Ciccone,Donald J. Trump,1,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Aras Agalarov,Donald J. Trump,1,"The billionaire real estate developer says he befriended Trump, and also has served as a liaison between Trump and Putin",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | http://www.forbes.com/profile/aras-agalarov/
Rex Tillerson,Donald J. Trump,1,Secretary of State,General knowledge
Jeremy Katz,Donald J. Trump,1,Deputy director of the National Economic Council,https://www.documentcloud.org/documents/3534036-Katz-Jeremy.html
Dan Scavino,Donald J. Trump,1,"Director of Social Media, White House",https://www.documentcloud.org/documents/3535097-Scavino-Dan.html
Joseph Kellogg,Donald J. Trump,1,"Chief of staff and executive secretary, National Security Council",https://www.documentcloud.org/documents/3534037-Kellogg-Joseph-K.html
Mangal Prabhat Lodha,Donald J. Trump,1,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
Sean Spicer,Donald J. Trump,1,White House Press Secretary,General knowledge
Sergei Millian,Donald J. Trump,1,Appeared in a Facebook photo together in 2014,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
Stephanie Grisham,Donald J. Trump,1,Deputy press secretary,https://www.documentcloud.org/documents/3534109-Grisham-Stephanie.html
"Roger J. Stone, Jr.",Donald J. Trump,1,"""Longtime adviser,"" per Politico",http://www.politico.com/story/2015/08/donald-trumps-debate-dirty-trickster-121098
Ginni Rometty,Donald J. Trump,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Michael D. Cohen,Donald J. Trump,1,Cohen is Trump's personal attorney,https://www.washingtonpost.com/news/post-politics/wp/2017/01/19/michael-cohen-special-counsel-to-donald-trump-will-follow-him-to-washington/?utm_term=.bea39093a642
Ryan Jarmula,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534032-Jarmula-Ryan.html
Kathleen Troia Mcfarland,Donald J. Trump,1,Deputy National Security Advisor,General knowledge
Peter Navarro,Donald J. Trump,1,Head of National Trade Council,http://www.businessinsider.com/peter-navarro-trump-administration-2017-4
Kalpesh Mehta,Donald J. Trump,1,"""exclusive representative of Trump's businesses in India,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Robert Kraft,Donald J. Trump,1,"A top touchstone outside the White House, according to the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Ross Worthington,Donald J. Trump,1,"Advisor for policy, strategy, and speechwriting",https://www.documentcloud.org/documents/3534345-Worthington-Ross.html
James Mattis,Donald J. Trump,1,Secretary of Defense,General knowledge
David M. Friedman,Donald J. Trump,1,Ambassador designate to Israel,https://www.nytimes.com/2017/02/11/us/politics/jared-kushner-israel.html?smid=tw-nytimesworld&smtyp=cur&_r=1
Felipe Yaryura,Donald J. Trump,1,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
Vince Haley,Donald J. Trump,1,"Advisor for policy, strategy, and speechwriting",https://www.documentcloud.org/documents/3534112-Haley-Vincent.html
Lindsay Walters,Donald J. Trump,1,White House spokeswoman,https://www.bloomberg.com/politics/articles/2017-02-03/trump-trade-pick-could-negotiate-for-industry-of-biggest-client
Justin Clark,Donald J. Trump,1,Director of inter-governmental affairs,https://www.documentcloud.org/documents/3534079-Clark-Justin.html
Rick Perry,Donald J. Trump,1,Secretary of Energy,General knowledge
Rhona Graff Riccio,Donald J. Trump,1,Assistant,http://www.nytimes.com/1993/04/19/style/weddings-rhona-c-graff-lucius-j-riccio.html
Tom Price,Donald J. Trump,1,Secretary of Health and Human Services,General knowledge
Stephen A. Feinberg,Donald J. Trump,1,Member of Trump's economic advisory council,https://www.nytimes.com/2017/02/15/us/politics/trump-intelligence-agencies-stephen-feinberg.html
Joseph Hagin,Donald J. Trump,1,Deputy chief of staff,https://www.documentcloud.org/documents/3534458-Hagin-Joseph.html
Sean Cairncross,Donald J. Trump,1,Deputy assistant,http://www.politico.com/story/2017/01/trump-transition-white-house-hires-233863
Madeleine Westerhout,Donald J. Trump,1,Executive assistant,https://www.documentcloud.org/documents/3534343-Westerhout-Madeleine.html
Mick Mulvaney,Donald J. Trump,1,Director of Office of Management and Budget,General knowledge
Omarosé Onee Manigault,Donald J. Trump,1,Assistant to the President and Director of Communications for the Office of Public Liaison,General knowledge
George Gigicos,Donald J. Trump,1,Director of advance,https://www.documentcloud.org/documents/3534048-Gigicos-George.html
Ben Carson,Donald J. Trump,1,Secretary of HUD,General knowledge
Recep Tayyip Erdogan,Donald J. Trump,1,"Erdogan, the president of Turkey and a vocal Trump supporter, met him during the ribbon-cutting of a Trump property",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Steven Roth,Donald J. Trump,1,"Former campaign advisor, going to co-head infrastructure council",http://www.huffingtonpost.com/entry/donald-trump-steven-roth-meeeting_us_587917f8e4b09281d0eaa28e | https://www.wsj.com/articles/donald-trump-asks-richard-lefrak-steven-roth-to-monitor-infrastructure-plans-costs-1484591989 | https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
Ike Perlmutter,Donald J. Trump,1,"Perlmutter ""has been informally advising Mr. Trump on veterans issues,"" per the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Bethany Scully,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534336-Scully-Bethany.html
Boris Epshteyn,Donald J. Trump,1,Assistant director of communications,https://www.documentcloud.org/documents/3534046-Epshteyn-Boris.html
Paul Winfree,Donald J. Trump,1,Deputy director of the domestic policy council,https://www.documentcloud.org/documents/3534344-Winfree-Paul.html
Roger Khafif,Donald J. Trump,1,"Told Russian buyers he was a partner in Trump project in Sunny Isles, Fla.",https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
Alexander Nix,Donald J. Trump,1,Worked on presidential campaign. May continue work for the administration.,https://www.theguardian.com/us-news/2016/nov/23/donald-trump-cambridge-analytica-steve-bannon
"Walter J. ""jay"" Clayton Iii",Donald J. Trump,1,Nominee for SEC Chairman,http://www.newyorker.com/magazine/2017/03/13/donald-trumps-worst-deal
John Gray,Donald J. Trump,1,Part of OMB transition team,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Stephen Bannon,Donald J. Trump,1,White House Chief Strategist and Senior Advisor,General knowledge
Alex Shnaider,Donald J. Trump,1,"""Trump’s primary partner for his lucrative business in Canada,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Sergey I. Kislyak,Donald J. Trump,1,The Russian diplomat sat in on Trump foreign policy speech in April 2016,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html
Marc Short,Donald J. Trump,1,Director of legislative affairs,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Jessica Ditto,Donald J. Trump,1,Deputy communications director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Andy Puzder,Donald J. Trump,1,Former nominee for Secretary of Labor,General knowledge
Marc Lotter,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3535104-Lotter-Marc.html
Don Mcgahn,Donald J. Trump,1,White House Counsel,General knowledge
Cindy Simms,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534338-Simms-Cindy.html
Eric Trump,Donald J. Trump,1,Parent/child,General knowledge
Gerrit Lansing,Donald J. Trump,1,Former Chief Digital Officer,https://www.documentcloud.org/documents/3534042-Lansing-Gerrit.html | http://www.politico.com/blogs/donald-trump-administration/2017/02/gerrit-lansing-trump-digital-chief-ousted-235268
James Schultz,Donald J. Trump,1,Senior associate counsel,https://www.documentcloud.org/documents/3534346-Shultz-James.html
Stephen Munisteri,Donald J. Trump,1,Deputy assistant,https://www.documentcloud.org/documents/3534157-Munisteri-Stephen-P.html
Richard Lefrak,Donald J. Trump,1,"""one of Trump's few close friends in New York real estate,"" per New York Magazine and co-head of his new infrastructure council according to the Wall Street Journal",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html | https://www.wsj.com/articles/donald-trump-asks-richard-lefrak-steven-roth-to-monitor-infrastructure-plans-costs-1484591989
Steven Mnuchin,Donald J. Trump,1,Secretary of Treasury,General knowledge
Linda Bean,Donald J. Trump,1,Donor,http://www.nbcnews.com/business/business-news/l-l-bean-embroiled-spat-over-donation-trump-campaign-n706236
Mike Pence,Donald J. Trump,1,Vice President,General knowledge
Sebastian Gorka,Donald J. Trump,1,Deputy assistant,http://www.cnn.com/2017/02/07/politics/kfile-gorka-on-fake-news/index.html
Rupert Murdoch,Donald J. Trump,1,"""The president’s relationship with Mr. Murdoch is deeper and more enduring than most in his life, and the two commiserate and plot strategy in their phone calls, according to people close to both,"" according to the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1 | http://nymag.com/daily/intelligencer/2017/01/megyn-kellys-departure-is-clue-about-future-of-fox-news.html | http://mediamatters.org/blog/2017/01/04/how-donald-trump-could-make-rupert-murdoch-even-more-powerful/214924
Mary T. Barra,Donald J. Trump,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Rebekah Mercer,Donald J. Trump,1,Major donor,https://www.washingtonpost.com/politics/the-rise-of-gop-mega-donor-rebekah-mercer/2016/09/13/85ae3c32-79bf-11e6-beac-57a4a412e93a_story.html?utm_term=.b4e577d44785
Alexander Gray,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534083-Gray-Alexander.html
Robert A. Iger,Donald J. Trump,1,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Anthony Scaramucci,Donald J. Trump,1,Considered for senior adviser to the President position,https://mobile.nytimes.com/2017/02/01/us/politics/anthony-scaramucci-china-trump-administration.html
Gary Cohn,Donald J. Trump,1,Director United States National Economic Council,General knowledge
Maryanne Trump Barry,Donald J. Trump,1,Siblings,General knowledge
Keith Schiller,Donald J. Trump,1,Director of Oval Office operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Peter Thiel,Donald J. Trump,1,Former transition team member,http://www.politico.com/story/2017/01/peter-thiel-no-job-trump-administration-233523
Sheri A. Dillon,Donald J. Trump,1,Conflicts of interest lawyer,https://www.nytimes.com/2017/01/11/us/politics/trump-press-conference-transcript.html
Carlos Diaz-rosillo,Donald J. Trump,1,Deputy assistant,https://www.documentcloud.org/documents/3534022-Diaz-Rosillo-Carlos.html
Brad Parscale,Donald J. Trump,1,Former digital director for Trump campaign,http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
Scott Gast,Donald J. Trump,1,Senior associate counsel,https://www.documentcloud.org/documents/3534078-Gast-Scott.html
John Destefano,Donald J. Trump,1,Director of presidential personnel,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Nikki Haley,Donald J. Trump,1,Ambassador to the United Nations,General knowledge
Noel Francisco,Donald J. Trump,1,Principal Deputy Solicitor General,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Joseph Lai,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534041-Lai-Joseph.html
Andrew D. Koenig,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534057-Koenig-Andrew-D.html
Hope Hicks,Donald J. Trump,1,"Director of Strategic Communications, White House",https://www.documentcloud.org/documents/3534459-Hicks-Hope.html
David S. Cordish,Donald J. Trump,1,Friends,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
David S. Cordish,Reed S. Cordish,1,Parent/child,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
Cui Tiankai,Jared Kushner,1,"""Kushner and Cui have had an extensive ongoing dialogue that has been positive, according to a White House official,"" per Bloomberg",https://www.bloomberg.com/politics/articles/2017-02-07/china-courts-ivanka-jared-kushner-to-smooth-ties-with-trump
Jared Kushner,Rob Speyer,1,Gave Kushner $50 million to help by a property from his father's company-Tishman Speyer,http://nymag.com/realestate/features/53797/index5.html
Avram Lebor,Jared Kushner,1,Kushner hired him for his real estate company,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
Ryan Doherty,Jared Kushner,1,Friends,http://www.businessinsider.com/jared-kushner-trump-media-mogul-observer-2016-12
Nicole Kushner Meyer,Jared Kushner,1,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Ivanka Trump,Jared Kushner,1,Married,General knowledge
Joshua Kushner,Jared Kushner,1,Siblings,General knowledge
Margaret Chin,Jared Kushner,1,Donor,http://thevillager.com/2013/07/25/the-billionaires-back-margaret-chin-for-city-council/
Justin Weniger,Jared Kushner,1,Friends,http://www.businessinsider.com/jared-kushner-trump-media-mogul-observer-2016-12
