node,type
ABOMINATRIX,hero
ABRAXAS,hero
ABSALOM,hero
ABSORBING MAN/CARL C,hero
ABSORBING MAN | MUTA,hero
ACBA,hero
A:C,comic
"ACHEBE, REVEREND DOC",hero
ACHILLES,hero
ACHILLES II/HELMUT,hero
ACROBAT/CARL ZANTE,hero
"ADAM 3,031",hero
"ADAMS, CINDY",hero
"ADAMS, CONGRESSMAN H",hero
"ADAMS, GEORGE",hero
"ADAMS, MARTHA",hero
"ADAMS, NICOLE NIKKI",hero
"ADAMSON, JASON",hero
"ADAMSON, REBECCA",hero
ADAM X,hero
ADMIRAL PROTOCOL/,hero
ADORA CLONE,hero
ADORA,hero
ADRIA,hero
ADVA,hero
A:DV,comic
ADVENT/KYLE GROBE,hero
ADVERSARY,hero
AEGIS/TREY ROLLINS,hero
AENTAROS,hero
AF 100,comic
AF 101,comic
AF 10/2,comic
AF 102,comic
AF 103,comic
AF 104,comic
AF 105,comic
AF 106,comic
AF 107,comic
AF 108,comic
AF 109/2,comic
AF 109,comic
AF 10,comic
AF 110,comic
AF 111,comic
AF 11/2,comic
AF 112,comic
AF 113,comic
AF 114,comic
AF 115,comic
AF 117,comic
AF 11,comic
AF 12,comic
AF 13,comic
AF 14,comic
AF 15,comic
AF 16,comic
AF 17,comic
AF 18,comic
AF 19,comic
AF 1,comic
AF 20,comic
AF2 10,comic
AF2 11,comic
AF2 12,comic
AF2 13,comic
AF2 14,comic
AF2 15,comic
AF2 16,comic
AF2 17,comic
AF2 18,comic
AF2 19,comic
AF 21,comic
AF2 1,comic
AF2 20,comic
AF 2/2,comic
AF 22,comic
AF2 2,comic
AF 23,comic
AF2 3,comic
AF 24,comic
AF2 4,comic
AF 25,comic
AF2 5,comic
AF 26,comic
AF2 6,comic
AF 27,comic
AF2 7,comic
AF 28,comic
AF2 8,comic
AF 29,comic
AF2 9,comic
AF 2,comic
AF 30,comic
AF 31,comic
AF 3/2,comic
AF 32,comic
AF 33,comic
AF 34,comic
AF 35,comic
AF 36,comic
AF 37,comic
AF 38,comic
AF 39,comic
AF 3,comic
AF 40,comic
AF 41,comic
AF 42,comic
AF 43,comic
AF 44,comic
AF 45,comic
AF 46,comic
AF 47,comic
AF 48,comic
AF 49,comic
AF 4,comic
AF 50,comic
AF 51,comic
AF 5/2,comic
AF 52,comic
AF 53,comic
AF 54,comic
AF 55,comic
AF 56,comic
AF 57,comic
AF 58,comic
AF 59,comic
AF 5,comic
AF 60,comic
AF 61,comic
AF 6/2,comic
AF 62,comic
AF 63,comic
AF 64,comic
AF 65,comic
AF 66,comic
AF 67,comic
AF 68,comic
AF 69,comic
AF 6,comic
AF 70,comic
AF 71,comic
AF 7/2,comic
AF 72,comic
AF 73,comic
AF 74,comic
AF 75,comic
AF 76,comic
AF 77,comic
AF 78,comic
AF 79,comic
AF 7,comic
AF 80,comic
AF 81,comic
AF 8/2,comic
AF 82,comic
AF 83,comic
AF 84,comic
AF 85,comic
AF 86,comic
AF 87,comic
AF 88,comic
AF 89,comic
AF 8,comic
AF 90,comic
AF 91,comic
AF 9/2,comic
AF 92,comic
AF 93,comic
AF 94,comic
AF 95,comic
AF 96,comic
AF 97,comic
AF 98,comic
AF 99,comic
AF 9,comic
AF SPECIAL 1,comic
AF SPECIAL,comic
AFTERLIFE,hero
AGAMEMNON,hero
AGAMEMNON II/ANDREI,hero
AGAMEMNON III/,hero
AGAMOTTO,hero
"AGARN, CAPT.",hero
AGED GENGHIS,hero
"AGEE, DR. AUBREY",hero
"AGEE, REBECCA",hero
AGENT 18/JACK TRUMAN,hero
AGENT AXIS/,hero
AGENT-X/,hero
AGGAMON,hero
AGINAR,hero
AGON,hero
AGONY/,hero
"AGUIRRE, ISOBEL",hero
AHAB/RORY CAMPBELL,hero
A,hero
AHQLAU,hero
AHURA,hero
AI 1,comic
AI 2,comic
AI 3,comic
AI 4,comic
AI-CHIA,hero
AIF 10,comic
AIF 11,comic
AIF 12,comic
AIF 13,comic
AIF 14,comic
AIF 15,comic
AIF 16,comic
AIF 17,comic
AIF 18,comic
AIF 19,comic
AIF 20,comic
AIF 21,comic
AIF 22,comic
AIF 23,comic
AIF 24,comic
AIF 25,comic
AIF 26,comic
AIF 27,comic
AIF 28,comic
AIF 29,comic
AIF 30,comic
AIF 31,comic
AINET,hero
AIRBORNE/,hero
AIREO/AEOLUS [INHUMA,hero
AIR WALKER/ARLO SAMU,hero
AIR-WALKER/GABRIEL L,hero
AJAK/TECUMOTZIN [ETE,hero
AJAX,hero
AJAX II,hero
AJES'HA,hero
AKAFE,hero
AKULIA,hero
"AKUTAGAWA, OSAMU",hero
ALANYA,hero
ALBERIK,hero
ALBERT,hero
ALBINO/DR. AUGUSTA S,hero
"ALBUQUERQUE, JEREMIA",hero
ALCHEMY/THOMAS JONES,hero
"ALDEN, PROF. MEREDIT",hero
"ALEGRIA, RICHIE",hero
"ALEXANDER, CALEB",hero
"ALEXANDER, CARRIE",hero
ALF 1/5,comic
ALF 1/6,comic
ALFY,hero
ALIOTH,hero
ALIST,hero
ALISTRO,hero
AL-KHALAD,hero
"ALLEN, TERRY",hero
ALL SELECT 11,comic
ALL-SELECT COMICS 3,comic
ALL-SELECT COMICS 4,comic
ALL-SELECT COMICS 5,comic
ALL-SELECT COMICS 7,comic
ALL TEEN 20,comic
ALL WINNERS 6,comic
ALL WINNERS COMICS 1,comic
ALL WINNERS COMICS 2,comic
ALL WINNERS COMICS 3,comic
ALL WINNERS COMICS 4,comic
ALL WINNERS COMICS 5,comic
ALL WINNERS COMICS 7,comic
ALL WINNERS COMICS 8,comic
ALL WINNERS COMICS 9,comic
"ALOUETTE, GENARD",hero
ALPHA,hero
"ALRAUNE, MARLENE",hero
"ALVAREZ, CARLY",hero
"ALVAREZ, FELIX",hero
"ALVAREZ, PAUL",hero
AMAZING COMICS 1,comic
AMAZO-MAXI-WOMAN/,hero
AMAZON,hero
AMAZX 1,comic
AMAZX 3,comic
AMAZX 4,comic
AMENHOTEP,hero
AMERICAN EAGLE III/J,hero
AMERICAN EAGLE II/JA,hero
AMERICAN SAMURAI/,hero
AMERICOP/,hero
AMIKO,hero
AMINEDI,hero
AMPERE/,hero
AMPHARON,hero
AMPHIBIAN/KINGLEY RI,hero
AMPHIBIUS,hero
ANACONDA/BLANCHE SIT,hero
ANAIS,hero
ANAK,hero
ANALYZER,hero
"ANAMI, HIROSHI",hero
ANANASTASIA/ANNA,hero
ANARCHIST/TIKE ALICA,hero
ANCESTOR/,hero
ANCIENT ONE/BARON MO,hero
ANCIENT ONE,hero
"ANDERS, JOSHUA RICHI",hero
"ANDERSON, BAXTER",hero
"ANDERSON, CHARLES",hero
"ANDERSON, CHET",hero
"ANDERSON, CHIEF MAGI",hero
"ANDERSON, GINA",hero
"ANDERSON, MARJORIE",hero
"ANDERSON, NICKY",hero
"ANDERSSEN, TANYA",hero
"ANDREWS, DARYL TROOP",hero
ANDROMEDA/ANDROMEDA,hero
ANDROS,hero
ANDWELLA,hero
ANELLE,hero
ANGAR THE SCREAMER/D,hero
ANGEL 2013,hero
ANGEL DOPPELGANGER,hero
ANGEL III/HALLOWAY,hero
ANGEL II/THOMAS HALL,hero
ANGEL IV,hero
"ANGELOPOULOS, ANGEL",hero
ANGEL/WARREN KENNETH,hero
ANGKOR,hero
ANGLER,hero
"ANGSTROM, EARL",hero
ANIELLE,hero
ANIMATOR/DR. FREDRIC,hero
ANIMATOR II/,hero
ANIMUS,hero
ANNALEE,hero
ANNIHILUS,hero
ANOMALY,hero
ANOMALY III,hero
"ANON, LORD",hero
ANSWER,hero
ANSWER II/DAVID FERR,hero
ANTEUS,hero
ANTHROMORPHO,hero
ANTIBODY,hero
ANTI-PHOENIX,hero
ANTIQUARY/,hero
ANTI-VISION,hero
ANT-MAN/DR. HENRY J.,hero
ANT-MAN II/SCOTT HAR,hero
"ANTOINETTE, MARIE",hero
ANTORO,hero
ANTRO,hero
"ANUBAR, ANWAR",hero
ANUBIA,hero
ANVIL/JOHNNY ANVIL,hero
AOI,comic
APE/,hero
APE MAN/GORDON MONK,hero
APE MAN II/ROY MCVEY,hero
APE-X/XINA,hero
APOCALYPSE/EN SABAH,hero
APOCALYPSE | MUTANT,hero
APOCRYPHUS,hero
APOLLO [GREEK GOD],hero
APOSTATE,hero
APPALLA,hero
"APPLEBAUM, PHANTASY",hero
AQUARIAN/WUNDARR,hero
AQUARIUS/DARREN BENT,hero
AQUARIUS II/,hero
AQUARIUS III/,hero
AR 1,comic
AR 2,comic
ARABIAN KNIGHT/ABDUL,hero
ARACHNE,hero
ARAGORN,hero
ARAKI II,hero
ARAKI [SHI'AR],hero
"ARBOGAST, BAMBI",hero
ARCADE/,hero
ARCADIUS,hero
ARCANNA/ARCANNA JONE,hero
ARCHAEOPTERYX/TONAJA,hero
ARCHANGEL,comic
ARCHER/JUDE BLACK,hero
"ARCHER, ULYSSES SAMS",hero
ARCLIGHT/PHILLIPA SO,hero
ARCTURUS,hero
ARES [GREEK GOD],hero
AREX,hero
ARGOS,hero
"ARGOSY, HERVE",hero
ARIA,hero
ARIANE,hero
ARIDES,hero
ARIEL II,hero
ARIES II/GROVER RAYM,hero
ARIES III/,hero
ARIES/MARCUS LASSITE,hero
ARISHEM [CELESTIAL],hero
ARIZE,hero
"ARKANIAN, GLIB",hero
ARKO,hero
ARKON,hero
"ARLINGTON, DR. MARCU",hero
ARLISSE,hero
ARMADA,hero
ARMADA II/,hero
ARMADILLO/ANTONIO RO,hero
ARMAGEDDON,hero
ARMAGEDDON MAN,hero
ARMAND,hero
ARMAROS,hero
ARMAZIEL,hero
"ARMBRUSTER, COLONEL",hero
ARMS MERCHANT/ANDREA,hero
"ARMSTRONG, ?",hero
"ARMSTRONG, MYRA",hero
ARNSTROM,hero
ARON [WATCHER],hero
ARRANGER/,hero
ARROW,hero
ARSENAL,hero
ARSENAL II,hero
ARSENIC,hero
ARTEMIS,hero
ARVAK,hero
ARYAN,hero
ASANO,hero
"ASBERY, SHAMARI",hero
ASBESTOS LADY,hero
"ASH, BRANDY",hero
ASHEMA [CELESTIAL],hero
ASHEMA,comic
"ASHER, CARL",hero
"ASHER, DONNA",hero
"ASHER, MICHAEL",hero
ASHUR,hero
ASKANI,hero
ASM '00/2,comic
ASM '00,comic
ASM '01,comic
ASM 100,comic
ASM 101,comic
ASM 102,comic
ASM 103,comic
ASM 104,comic
ASM 105,comic
ASM 106,comic
ASM 107,comic
ASM 108,comic
ASM 109,comic
ASM 10,comic
ASM 110,comic
ASM 111,comic
ASM 11/2,comic
ASM 112,comic
ASM 113,comic
ASM 114,comic
ASM 115,comic
ASM 116,comic
ASM 117,comic
ASM 118,comic
ASM 119,comic
ASM 11,comic
ASM 120,comic
ASM 121,comic
ASM 122,comic
ASM 123,comic
ASM 124,comic
ASM 125,comic
ASM 126,comic
ASM 127,comic
ASM 128,comic
ASM 129,comic
ASM 1/2,comic
ASM 12,comic
ASM 130,comic
ASM 131,comic
ASM 132,comic
ASM 133,comic
ASM 134,comic
ASM 135,comic
ASM 136,comic
ASM 137,comic
ASM 138,comic
ASM 139,comic
ASM 13,comic
ASM 140,comic
ASM 141,comic
ASM 142,comic
ASM 143,comic
ASM 144,comic
ASM 145,comic
ASM 146,comic
ASM 147,comic
ASM 148,comic
ASM 149,comic
ASM 14,comic
ASM 150,comic
ASM 151,comic
ASM 152,comic
ASM 153,comic
ASM 154,comic
ASM 155,comic
ASM 156,comic
ASM 157,comic
ASM 158,comic
ASM 159,comic
ASM 15,comic
ASM 160,comic
ASM 161,comic
ASM 162,comic
ASM 163,comic
ASM 164,comic
ASM 165,comic
ASM 166,comic
ASM 167,comic
ASM 168,comic
ASM 169,comic
ASM 16,comic
ASM 170,comic
ASM 171,comic
ASM 172,comic
ASM 173,comic
ASM 174,comic
ASM 175,comic
ASM 176,comic
ASM 177,comic
ASM 178,comic
ASM 179,comic
ASM 17,comic
ASM 180,comic
ASM 181,comic
ASM 182,comic
ASM 183,comic
ASM 184,comic
ASM 185/2,comic
ASM 185,comic
ASM 186,comic
ASM 187,comic
ASM 188,comic
ASM 189,comic
ASM 18,comic
ASM 190,comic
ASM 191,comic
ASM 192,comic
ASM 193,comic
ASM 194,comic
ASM 195,comic
ASM 196,comic
ASM 197,comic
ASM 198,comic
ASM 199,comic
ASM 19,comic
ASM -1,comic
ASM 1,comic
ASM1,comic
ASM 200,comic
ASM 201,comic
ASM 202,comic
ASM 203,comic
ASM 204,comic
ASM 205,comic
ASM 206,comic
ASM 207,comic
ASM 208,comic
ASM 209,comic
ASM 20,comic
ASM 210,comic
ASM2 10,comic
ASM 211,comic
ASM2 11,comic
ASM2 12/2,comic
ASM 212,comic
ASM2 1/2,comic
ASM2 12,comic
ASM 213,comic
ASM2 1/3,comic
ASM2 13,comic
ASM 214,comic
ASM2 14,comic
ASM 215,comic
ASM2 15,comic
ASM 216,comic
ASM2 16,comic
ASM 217,comic
ASM2 17,comic
ASM 218,comic
ASM2 18,comic
ASM 219,comic
ASM2 19,comic
ASM 21,comic
ASM2 1,comic
ASM 220/2,comic
ASM 220,comic
ASM2 20,comic
ASM 221,comic
ASM2 21,comic
ASM 22/2,comic
ASM 222,comic
ASM2 22,comic
ASM 22/3,comic
ASM 223,comic
ASM2 23,comic
ASM 224,comic
ASM2 24,comic
ASM 225,comic
ASM2 25,comic
ASM 226,comic
ASM2 26,comic
ASM 227,comic
ASM2 27,comic
ASM 228,comic
ASM2 28,comic
ASM 229,comic
ASM2 29,comic
ASM 2/2,comic
ASM 22,comic
ASM2 2,comic
ASM 230,comic
ASM2 30,comic
ASM 231,comic
ASM2 31,comic
ASM 23/2,comic
ASM 232,comic
ASM2 32,comic
ASM 23/3,comic
ASM 233,comic
ASM2 33,comic
ASM 23/4,comic
ASM 234,comic
ASM 235,comic
ASM 236,comic
ASM 237,comic
ASM 238,comic
ASM 239,comic
ASM 23,comic
ASM2 3,comic
ASM 240,comic
ASM 241,comic
ASM 24/2,comic
ASM 242,comic
ASM 24/3,comic
ASM 243,comic
ASM 24/4,comic
ASM 244,comic
ASM 245,comic
ASM 246,comic
ASM 247,comic
ASM 248/2,comic
ASM 248,comic
ASM 249,comic
ASM 24,comic
ASM2 4,comic
ASM 250,comic
ASM 251,comic
ASM 252,comic
ASM 25/3,comic
ASM 253,comic
ASM 25/4,comic
ASM 254,comic
ASM 25/5,comic
ASM 255,comic
ASM 256,comic
ASM 257,comic
ASM 258,comic
ASM 259,comic
ASM 25 ASM 259,comic
ASM 25,comic
ASM2 5,comic
ASM 260,comic
ASM 261,comic
ASM 26/2,comic
ASM 262,comic
ASM 26/3,comic
ASM 263,comic
ASM 26/4,comic
ASM 264,comic
ASM 26/5,comic
ASM 265,comic
ASM 266,comic
ASM 267,comic
ASM 268,comic
ASM 269,comic
ASM 26,comic
ASM2 6,comic
ASM 270,comic
ASM 271,comic
ASM 272,comic
ASM 273,comic
ASM 274,comic
ASM 275,comic
ASM 276,comic
ASM 277/2,comic
ASM 277,comic
ASM 278,comic
ASM 279,comic
ASM 27,comic
ASM2 7,comic
ASM 280,comic
ASM 281,comic
ASM 282,comic
ASM 283,comic
ASM 284,comic
ASM 285,comic
ASM 286,comic
ASM 287,comic
ASM 288,comic
ASM 289,comic
ASM 28,comic
ASM2 8,comic
ASM 290,comic
ASM 291,comic
ASM 292,comic
ASM 293,comic
ASM 294,comic
ASM 295,comic
ASM 296,comic
ASM 297,comic
ASM 298,comic
ASM 299,comic
ASM 29,comic
ASM2 9,comic
ASM 2,comic
ASM 300,comic
ASM 301,comic
ASM 302,comic
ASM 303,comic
ASM 304,comic
ASM 305,comic
ASM 306,comic
ASM 307,comic
ASM 308,comic
ASM 309,comic
ASM 30,comic
ASM 310,comic
ASM 311,comic
ASM 312,comic
ASM 313,comic
ASM 314,comic
ASM 315,comic
ASM 316,comic
ASM 317,comic
ASM 318,comic
ASM 319,comic
ASM 31,comic
ASM 320,comic
ASM 321,comic
ASM 322,comic
ASM 323,comic
ASM 324,comic
ASM 325,comic
ASM 326,comic
ASM 327,comic
ASM 328,comic
ASM 329,comic
ASM 32,comic
ASM 330,comic
ASM 331,comic
ASM 332,comic
ASM 333,comic
ASM 334,comic
ASM 335,comic
ASM 336,comic
ASM 337,comic
ASM 338,comic
ASM 339,comic
ASM 33,comic
ASM 340,comic
ASM 341,comic
ASM 342,comic
ASM 343,comic
ASM 344,comic
ASM 345,comic
ASM 346,comic
ASM 347,comic
ASM 348,comic
ASM 349,comic
ASM 34,comic
ASM 350,comic
ASM 351,comic
ASM 352,comic
ASM 353,comic
ASM 354,comic
ASM 355,comic
ASM 356,comic
ASM 357,comic
ASM 358,comic
ASM 359,comic
ASM 35,comic
ASM 360,comic
ASM 361,comic
ASM 362,comic
ASM 363,comic
ASM 364,comic
ASM 365/2,comic
ASM 365/3,comic
ASM 365/4,comic
ASM 365,comic
ASM 366,comic
ASM 367,comic
ASM 368/2,comic
ASM 368,comic
ASM 369/2,comic
ASM 369,comic
ASM 36,comic
ASM 370/2,comic
ASM 370,comic
ASM 371/2,comic
ASM 371,comic
ASM 372/2,comic
ASM 372,comic
ASM 373/2,comic
ASM 373,comic
ASM 375,comic
ASM 378,comic
ASM 379,comic
ASM 37,comic
ASM 380,comic
ASM 38,comic
ASM 391,comic
ASM 392,comic
ASM 393,comic
ASM 394/2,comic
ASM 394,comic
ASM 395,comic
ASM 396,comic
ASM 397,comic
ASM 398,comic
ASM 399,comic
ASM 39,comic
ASM 3,comic
ASM 400/3,comic
ASM 400,comic
ASM 401,comic
ASM 402,comic
ASM 403,comic
ASM 404,comic
ASM 405,comic
ASM 406,comic
ASM 407,comic
ASM 408,comic
ASM 409,comic
ASM 40,comic
ASM 410,comic
ASM 411,comic
ASM 412,comic
ASM 413,comic
ASM 414,comic
ASM 415,comic
ASM 416,comic
ASM 417,comic
ASM 418,comic
ASM 419,comic
ASM 41,comic
ASM 420,comic
ASM 421/2,comic
ASM 421,comic
ASM 422,comic
ASM 423,comic
ASM 424,comic
ASM 425,comic
ASM 426,comic
ASM 427,comic
ASM 428,comic
ASM 429,comic
ASM 42,comic
ASM 430,comic
ASM 431,comic
ASM 432,comic
ASM 433,comic
ASM 434,comic
ASM 435,comic
ASM 436,comic
ASM 437,comic
ASM 438,comic
ASM 439,comic
ASM 43,comic
ASM 440,comic
ASM 441,comic
ASM 44,comic
ASM 45,comic
ASM 46,comic
ASM 47,comic
ASM 48,comic
ASM 49,comic
ASM 4,comic
ASM 50,comic
ASM 51,comic
ASM 52,comic
ASM 53,comic
ASM 54,comic
ASM 55,comic
ASM 56,comic
ASM 57,comic
ASM 58,comic
ASM 59,comic
ASM 5,comic
ASM 60,comic
ASM 61,comic
ASM 62,comic
ASM 63,comic
ASM 64,comic
ASM 65,comic
ASM 66,comic
ASM 67,comic
ASM 68,comic
ASM 69,comic
ASM 6,comic
ASM 70,comic
ASM 71,comic
ASM 72,comic
ASM 73,comic
ASM 74,comic
ASM 75,comic
ASM 76,comic
ASM 77,comic
ASM 78,comic
ASM 79,comic
ASM 7,comic
ASM 80,comic
ASM 81,comic
ASM 8/2,comic
ASM 82,comic
ASM 83,comic
ASM 84,comic
ASM 85,comic
ASM 86,comic
ASM 87,comic
ASM 88,comic
ASM 89,comic
ASM 8,comic
ASM 90,comic
ASM 91,comic
ASM 92,comic
ASM 93,comic
ASM 94,comic
ASM 95,comic
ASM '96/2,comic
ASM '96,comic
ASM 96,comic
ASM '97,comic
ASM 97,comic
ASM '98,comic
ASM 98,comic
ASM '99,comic
ASM 99,comic
ASM 9,comic
