Id,Label,timeset
212,"SUMMERS, NATHAN CHRI",
213,"SUMMERS, MADELYNE MA",
214,"MACTAGGERT, MOIRA KI",
215,CANNONBALL II/SAM GU,
216,"TILBY, TRISH/PATRICI",
217,SKIDS/SALLY BLEVINS,
218,WOLFSBANE/RAHNE SINC,
219,LEECH,
220,MIRAGE II/DANIELLE M,
221,GAMBIT/REMY LEBEAU,
222,JUBILEE/JUBILATION L,
223,STRONG GUY/GUIDO CAR,
224,SPIRAL,
225,BANSHEE/SEAN CASSIDY,
226,LEGION II/DAVID HALL,
227,HAVOK/ALEX SUMMERS,
228,LONGSHOT,
229,FORGE,
230,SABRETOOTH/VICTOR CR,
231,"MADDICKS, ARTHUR ART",
232,WARLOCK III,
233,RICTOR/JULIO ESTEBAN,
234,SUNSPOT/ROBERTO DACO,
235,FIREFIST/RUSTY COLLI,
236,BISHOP /,
237,DAYTRIPPER/AMANDA SE,
238,WILD CHILD/KYLE GIBN,
239,THUNDERBIRD II/JAMES,
240,SAURON/DR. KARL LYKO,
241,SIRYN/THERESA ROURKE,
242,SHATTERSTAR II/GAVEE,
243,MARROW/SARAH,
244,FERAL/MARIA CALLASAN,
245,CALLISTO,
246,MR. SINISTER/NATHAN,
247,RAZA LONGKNIFE,
248,SPIDER-WOMAN/JESSICA,
249,CYPHER/DOUG RAMSEY,
250,DEATHBIRD [SHI'AR],
251,"HUDSON, HEATHER",
252,STRYFE,
253,IRON MAN DOPPELGANGE,
254,PUCK/EUGENE MILTON J,
255,SILHOUETTE,
256,"CORTEZ, FABIAN",
257,BLACK KING/SEBASTIAN,
258,MAGIK/ILLYANA RASPUT,
259,ZABU,
260,DOMINO III/BEATRICE/,
261,CALIBAN/,
262,APOCALYPSE/EN SABAH,
263,"HUNTER, STEVIE",
264,CORSAIR,
265,CH'OD,
266,MAM'SELLE HEPZIBAH,
267,ZERO,
268,X-MAN/NATHAN GREY,
269,KARMA/XI'AN COY MANH,
270,MR. FANTASTIC DOPPEL,
271,BEYONDER,
272,MULTIPLE MAN/JAMES A,
273,COLOSSUS II DOPPELGA,
274,SCANNER II,
275,KA-ZAR/KEVIN PLUNDER,
276,WHITE QUEEN/EMMA FRO,
277,MAGMA/AMARA AQUILLA/,
278,THANOS DOPPELGANGER,
279,MAGUS,
280,"KNIGHT, MISTY",
281,"WING, COLLEEN",
282,PUPPET MASTER/PHILLI,
283,MAXIMUS [INHUMAN],
284,PUNISHER II/FRANK CA,
285,ZEUS,
286,BOX IV/MADISON JEFFR,
287,THENA,
288,BLACK CAT/FELICIA HA,
289,GEE/ALEX POWER,
290,SPIDER-MAN CLONE/BEN,
291,ULIK,
292,CITIZEN V II/HELMUT,
293,HIGH EVOLUTIONARY/HE,
294,HOBGOBLIN V/JASON PH,
295,GHOST RIDER III/DAN,
296,"CUSHING, KATE",
297,"KATZENBERG, NICK",
298,VIZIER,
299,TOMBSTONE/LONNIE THO,
300,"MERCADO, JOY",
301,HAMMERHEAD,
302,ARRANGER/,
303,"OSBORN, HARRY",
304,COBRA/KLAUS VORHEES,
305,"LEEDS, NED",
306,"WATSON, ANNA",
307,"URICH, BEN",
308,"ROBERTSON, RANDY",
309,"PAGE, KAREN",
310,"GRANT, GLORIA GLORY",
311,"LUBENSKI, NATE",
312,IKARIS/IKE HARRIS [E,
313,"ROSENTHAL, BERNIE",
314,GLADIATOR II,
315,BETA RAY BILL,
316,"BRIDGE, GEORGE WASHI",
317,DIAMOND LIL/LILLIAN,
318,ASP II/CLEO,
319,BLACK MAMBA/TANYA SE,
320,MEGGAN,
321,"AUSTIN, SUSAN",
322,DIAMONDBACK II/RACHE,
323,MAKKARI/MIKE KHARY/I,
324,"HODGE, CAMERON",
325,SKIN/ANGELO ESPINOSA,
326,HUSK/PAIGE GUTHRIE,
327,DEADPOOL/JACK/WADE W,
