Source,Target,Type,Id,Label,timeset,Weight
TOAD/MORTIMER TOYNBE,BLACK PANTHER/T'CHAL,Undirected,1021193,,,5
HULK/DR. ROBERT BRUC,BLACK PANTHER/T'CHAL,Undirected,1021117,,,27
FIRESTAR/ANGELICA JO,BLACK PANTHER/T'CHAL,Undirected,992526,,,13
WONDER MAN/SIMON WIL,BLACK PANTHER/T'CHAL,Undirected,992186,,,51
DRAX/ARTHUR DOUGLAS,BLACK PANTHER/T'CHAL,Undirected,980666,,,6
"DUGAN, TIMOTHY ALOYI",BLACK PANTHER/T'CHAL,Undirected,943218,,,9
"CARTER, SHARON",BLACK PANTHER/T'CHAL,Undirected,943203,,,7
BLACK KNIGHT V/DANE,BLACK PANTHER/T'CHAL,Undirected,869790,,,23
SUNFIRE/SHIRO YOSHID,BLACK PANTHER/T'CHAL,Undirected,869480,,,5
TRITON,BLACK PANTHER/T'CHAL,Undirected,846881,,,9
ULTRON,BLACK PANTHER/T'CHAL,Undirected,843304,,,15
"JONES, RICHARD MILHO",BLACK PANTHER/T'CHAL,Undirected,803225,,,16
IRON MAN/TONY STARK,BLACK PANTHER/T'CHAL,Undirected,803168,,,120
"NELSON, FRANKLIN FOG",BLACK PANTHER/T'CHAL,Undirected,762477,,,7
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,Undirected,729432,,,131
"JARVIS, EDWIN",BLACK PANTHER/T'CHAL,Undirected,729398,,,55
QUASAR III/WENDELL V,BLACK PANTHER/T'CHAL,Undirected,719776,,,20
"JAMESON, J. JONAH",BLACK PANTHER/T'CHAL,Undirected,637647,,,7
"MASTERS, ALICIA REIS",BLACK PANTHER/T'CHAL,Undirected,637515,,,5
MAGNETO/MAGNUS/ERIC,BLACK PANTHER/T'CHAL,Undirected,637317,,,7
INVISIBLE WOMAN/SUE,BLACK PANTHER/T'CHAL,Undirected,630980,,,39
PROFESSOR X/CHARLES,BLACK PANTHER/T'CHAL,Undirected,620432,,,9
IRON FIST/DANIEL RAN,BLACK PANTHER/T'CHAL,Undirected,620238,,,7
BLACK BOLT/BLACKANTO,BLACK PANTHER/T'CHAL,Undirected,619743,,,15
HAWK,BLACK PANTHER/T'CHAL,Undirected,609900,,,95
SANDMAN/WILLIAM BAKE,BLACK PANTHER/T'CHAL,Undirected,599225,,,5
FALCON/SAM WILSON,BLACK PANTHER/T'CHAL,Undirected,598994,,,18
STINGRAY/DR. WALTER,BLACK PANTHER/T'CHAL,Undirected,598637,,,6
JUSTICE II/VANCE AST,BLACK PANTHER/T'CHAL,Undirected,598553,,,14
HERCULES [GREEK GOD],BLACK PANTHER/T'CHAL,Undirected,598460,,,28
USAGENT/CAPTAIN JOHN,BLACK PANTHER/T'CHAL,Undirected,598285,,,5
CAPTAIN MARVEL II/MO,BLACK PANTHER/T'CHAL,Undirected,598085,,,8
CRYSTAL [INHUMAN],BLACK PANTHER/T'CHAL,Undirected,597998,,,28
TIGRA/GREER NELSON,BLACK PANTHER/T'CHAL,Undirected,597907,,,16
SPIDER-WOMAN II/JULI,BLACK PANTHER/T'CHAL,Undirected,596397,,,5
MACHINE MAN/X-51,BLACK PANTHER/T'CHAL,Undirected,596330,,,8
MOCKINGBIRD/DR. BARB,BLACK PANTHER/T'CHAL,Undirected,595831,,,6
CAPTAIN MARVEL/CAPTA,BLACK PANTHER/T'CHAL,Undirected,585681,,,15
WASP/JANET VAN DYNE,BLACK PANTHER/T'CHAL,Undirected,585189,,,84
"FURY, COL. NICHOLAS",BLACK PANTHER/T'CHAL,Undirected,585144,,,18
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL,Undirected,585049,,,103
QUICKSILVER/PIETRO M,BLACK PANTHER/T'CHAL,Undirected,584841,,,48
CAPTAIN BRITAIN/BRIA,BLACK PANTHER/T'CHAL,Undirected,584317,,,5
SHADOWCAT/KATHERINE,BLACK PANTHER/T'CHAL,Undirected,584306,,,5
BLACK WIDOW/NATASHA,BLACK PANTHER/T'CHAL,Undirected,577674,,,44
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL,Undirected,577668,,,86
MOON KNIGHT/MARC SPE,BLACK PANTHER/T'CHAL,Undirected,577661,,,6
JOCASTA,BLACK PANTHER/T'CHAL,Undirected,577611,,,10
MOONDRAGON/HEATHER D,BLACK PANTHER/T'CHAL,Undirected,577598,,,21
THING/BENJAMIN J. GR,BLACK PANTHER/T'CHAL,Undirected,575327,,,49
BEAST/HENRY &HANK& P,BLACK PANTHER/T'CHAL,Undirected,575117,,,44
IRON MAN/TONY STARK,MEPHISTO,Undirected,1125523,,,11
IRON MAN/TONY STARK,NOVA/RICHARD RIDER,Undirected,1123919,,,17
IRON MAN/TONY STARK,WRECKER III/DIRK GAR,Undirected,1123080,,,7
IRON MAN/TONY STARK,WARLOCK II/ADAM WARL,Undirected,1102679,,,11
IRON MAN/TONY STARK,JACK OF HEARTS/JACK,Undirected,1082902,,,20
IRON MAN/TONY STARK,PILEDRIVER II/BRIAN,Undirected,1074914,,,6
IRON MAN/TONY STARK,THUNDERBALL/DR. ELIO,Undirected,1074913,,,7
IRON MAN/TONY STARK,SCARLET WITCH/WANDA,Undirected,1051189,,,372
IRON MAN/TONY STARK,BINARY/CAROL DANVERS,Undirected,1037828,,,77
IRON MAN/TONY STARK,GHAUR [DEVIANT],Undirected,1026854,,,7
IRON MAN/TONY STARK,PROFESSOR X/CHARLES,Undirected,1018612,,,29
IRON MAN/TONY STARK,DR. OCTOPUS/OTTO OCT,Undirected,1018602,,,6
IRON MAN/TONY STARK,SILVER SURFER/NORRIN,Undirected,1004973,,,42
IRON MAN/TONY STARK,"BANNER, BETTY ROSS T",Undirected,1003887,,,16
IRON MAN/TONY STARK,AVALANCHE/DOMINIC PE,Undirected,997825,,,6
IRON MAN/TONY STARK,ATTUMA,Undirected,996330,,,9
IRON MAN/TONY STARK,HELA [ASGARDIAN],Undirected,982491,,,7
IRON MAN/TONY STARK,NIGHTCRAWLER/KURT WA,Undirected,970542,,,16
IRON MAN/TONY STARK,ANGEL/WARREN KENNETH,Undirected,970539,,,32
IRON MAN/TONY STARK,"NELSON, FRANKLIN FOG",Undirected,966150,,,7
IRON MAN/TONY STARK,DOC SAMSON/DR. LEONA,Undirected,966130,,,13
IRON MAN/TONY STARK,GUARDIAN/JAMES MACDO,Undirected,966121,,,5
IRON MAN/TONY STARK,STORM/ORORO MUNROE S,Undirected,966107,,,22
IRON MAN/TONY STARK,NORTHSTAR/JEAN-PAUL,Undirected,966093,,,5
IRON MAN/TONY STARK,"DUGAN, TIMOTHY ALOYI",Undirected,939844,,,36
IRON MAN/TONY STARK,CAPTAIN BRITAIN/BRIA,Undirected,936961,,,7
IRON MAN/TONY STARK,CAPTAIN MARVEL/CAPTA,Undirected,900613,,,36
IRON MAN/TONY STARK,DR. DRUID/ANTHONY LU,Undirected,897635,,,12
IRON MAN/TONY STARK,"WATSON-PARKER, MARY",Undirected,891858,,,9
IRON MAN/TONY STARK,SUNFIRE/SHIRO YOSHID,Undirected,872635,,,17
IRON MAN/TONY STARK,MYSTIQUE/RAVEN DARKH,Undirected,862855,,,5
IRON MAN/TONY STARK,PYRO/ALLERDYCE JOHNN,Undirected,862851,,,6
IRON MAN/TONY STARK,DESTINY II/IRENE ADL,Undirected,862847,,,5
IRON MAN/TONY STARK,MISTER HYDE/CALVIN Z,Undirected,846202,,,6
IRON MAN/TONY STARK,SHE-HULK/JENNIFER WA,Undirected,844244,,,93
IRON MAN/TONY STARK,"JARVIS, EDWIN",Undirected,833924,,,183
IRON MAN/TONY STARK,GHOST RIDER II/JOHNN,Undirected,831091,,,8
IRON MAN/TONY STARK,LOCKJAW [INHUMAN],Undirected,830467,,,13
IRON MAN/TONY STARK,MOLE MAN/HARVEY RUPE,Undirected,829553,,,11
IRON MAN/TONY STARK,WASP/JANET VAN DYNE,Undirected,805574,,,301
IRON MAN/TONY STARK,FIRELORD/PYREUS KRIL,Undirected,799867,,,8
IRON MAN/TONY STARK,STARFOX/EROS,Undirected,793879,,,30
IRON MAN/TONY STARK,LEADER/SAM STERNS,Undirected,768648,,,8
IRON MAN/TONY STARK,FIRESTAR/ANGELICA JO,Undirected,762801,,,42
IRON MAN/TONY STARK,"LE FEY, MORGAN",Undirected,745778,,,5
IRON MAN/TONY STARK,BULLDOZER/HENRY CAMP,Undirected,726734,,,6
IRON MAN/TONY STARK,FORGOTTEN ONE/GILGAM,Undirected,714634,,,5
IRON MAN/TONY STARK,MR. FANTASTIC/REED R,Undirected,707784,,,128
IRON MAN/TONY STARK,BALDER [ASGARDIAN],Undirected,686560,,,8
IRON MAN/TONY STARK,HOGUN [ASGARDIAN],Undirected,686559,,,7
IRON MAN/TONY STARK,HELLSTORM/DAIMON HEL,Undirected,682467,,,7
IRON MAN/TONY STARK,AURORA/JEANNE-MARIE,Undirected,665025,,,5
IRON MAN/TONY STARK,THOR/DR. DONALD BLAK,Undirected,662434,,,344
IRON MAN/TONY STARK,"O'BRIEN, MICHAEL",Undirected,661682,,,29
IRON MAN/TONY STARK,"STANKOWICZ, FABIAN",Undirected,661677,,,8
IRON MAN/TONY STARK,SCREAMING MIMI/MELIS,Undirected,659457,,,8
IRON MAN/TONY STARK,MOONSTONE II/KARLA S,Undirected,659313,,,8
IRON MAN/TONY STARK,FIXER II/PAUL NORBER,Undirected,659306,,,7
IRON MAN/TONY STARK,DARKSTAR/LAYNIA SERG,Undirected,645992,,,15
IRON MAN/TONY STARK,VANGUARD/NICOLAI KRY,Undirected,645991,,,12
IRON MAN/TONY STARK,DAREDEVIL/MATT MURDO,Undirected,637446,,,53
IRON MAN/TONY STARK,GAMORA,Undirected,633066,,,5
IRON MAN/TONY STARK,PSYLOCKE/ELISABETH B,Undirected,633063,,,10
IRON MAN/TONY STARK,ROGUE /,Undirected,633054,,,11
IRON MAN/TONY STARK,HUMAN TORCH/JOHNNY S,Undirected,623954,,,108
IRON MAN/TONY STARK,HELLCAT/PATSY WALKER,Undirected,620930,,,29
IRON MAN/TONY STARK,"NORRISS, SISTER BARB",Undirected,620912,,,18
IRON MAN/TONY STARK,SANDMAN/WILLIAM BAKE,Undirected,603362,,,17
IRON MAN/TONY STARK,SASQUATCH/WALTER LAN,Undirected,603351,,,9
IRON MAN/TONY STARK,COLOSSUS II/PETER RA,Undirected,603344,,,17
IRON MAN/TONY STARK,"MASTERS, ALICIA REIS",Undirected,603143,,,19
IRON MAN/TONY STARK,LUNA/LUNA MAXIMOFF [,Undirected,598232,,,9
IRON MAN/TONY STARK,"JONES, RICHARD MILHO",Undirected,598229,,,58
IRON MAN/TONY STARK,ULTRON,Undirected,597265,,,33
IRON MAN/TONY STARK,WHIZZER II/STANLEY S,Undirected,597051,,,10
IRON MAN/TONY STARK,DR. SPECTRUM/JOSEPH,Undirected,597049,,,10
IRON MAN/TONY STARK,DEMOLITION MAN/DENNI,Undirected,596782,,,7
IRON MAN/TONY STARK,CAPTAIN AMERICA,Undirected,595115,,,446
IRON MAN/TONY STARK,KINGPIN/WILSON FISK,Undirected,594729,,,6
IRON MAN/TONY STARK,RAGE/ELVIN DARYL HAL,Undirected,593511,,,16
IRON MAN/TONY STARK,ANT-MAN II/SCOTT HAR,Undirected,592911,,,27
IRON MAN/TONY STARK,THANOS,Undirected,588533,,,20
IRON MAN/TONY STARK,CLEA,Undirected,588496,,,6
IRON MAN/TONY STARK,POLARIS/LORNA DANE,Undirected,588331,,,5
IRON MAN/TONY STARK,"DE LA FONTAINE, CONT",Undirected,586742,,,10
IRON MAN/TONY STARK,HEIMDALL [ASGARDIAN],Undirected,586016,,,7
IRON MAN/TONY STARK,UATU,Undirected,586009,,,16
IRON MAN/TONY STARK,COLLECTOR/TANELEER T,Undirected,584851,,,14
IRON MAN/TONY STARK,"GYRICH, HENRY PETER",Undirected,584849,,,24
IRON MAN/TONY STARK,WONDER MAN/SIMON WIL,Undirected,584718,,,249
IRON MAN/TONY STARK,JUSTICE II/VANCE AST,Undirected,584651,,,36
IRON MAN/TONY STARK,VISION,Undirected,584646,,,333
IRON MAN/TONY STARK,RED SKULL/JOHANN SCH,Undirected,584533,,,7
IRON MAN/TONY STARK,"THOMPSON, EUGENE FLA",Undirected,583458,,,5
IRON MAN/TONY STARK,WONG,Undirected,582962,,,11
IRON MAN/TONY STARK,"PARKER, MAY",Undirected,582956,,,9
IRON MAN/TONY STARK,GREEN GOBLIN/NORMAN,Undirected,582955,,,7
IRON MAN/TONY STARK,SUB-MARINER/NAMOR MA,Undirected,582953,,,71
IRON MAN/TONY STARK,SPIDER-MAN/PETER PAR,Undirected,580607,,,94
IRON MAN/TONY STARK,HERCULES [GREEK GOD],Undirected,577676,,,79
IRON MAN/TONY STARK,DEATH,Undirected,575422,,,11
IRON MAN/TONY STARK,NIGHT THRASHER/DUANE,Undirected,575418,,,5
IRON MAN/TONY STARK,ETERNITY/ADAM QADMON,Undirected,575416,,,8
IRON MAN/TONY STARK,WOLVERINE/LOGAN,Undirected,575409,,,33
IRON MAN/TONY STARK,GALACTUS/GALAN,Undirected,574925,,,15
TRIATHLON/DELROY GAR,IRON MAN/TONY STARK,Undirected,1146900,,,30
"CAGE, LUKE/CARL LUCA",IRON MAN/TONY STARK,Undirected,1135170,,,19
SPIDER-WOMAN II/JULI,IRON MAN/TONY STARK,Undirected,1116361,,,62
BEETLE/ABNER RONALD,IRON MAN/TONY STARK,Undirected,1098871,,,17
"JAMESON, J. JONAH",IRON MAN/TONY STARK,Undirected,1054513,,,27
LILANDRA NERAMANI [S,IRON MAN/TONY STARK,Undirected,1045547,,,6
THING/BENJAMIN J. GR,IRON MAN/TONY STARK,Undirected,1025509,,,129
HAWK,IRON MAN/TONY STARK,Undirected,1025214,,,294
JOCASTA,IRON MAN/TONY STARK,Undirected,990136,,,50
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK,Undirected,983933,,,291
MOCKINGBIRD/DR. BARB,IRON MAN/TONY STARK,Undirected,981989,,,74
"CARTER, SHARON",IRON MAN/TONY STARK,Undirected,962146,,,16
ODIN [ASGARDIAN],IRON MAN/TONY STARK,Undirected,897830,,,17
BLACK KNIGHT V/DANE,IRON MAN/TONY STARK,Undirected,869799,,,50
TRITON,IRON MAN/TONY STARK,Undirected,866763,,,12
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK,Undirected,859543,,,117
DR. DOOM/VICTOR VON,IRON MAN/TONY STARK,Undirected,853777,,,40
INVISIBLE WOMAN/SUE,IRON MAN/TONY STARK,Undirected,845596,,,114
MAD DOG/COLONEL BUZZ,IRON MAN/TONY STARK,Undirected,833823,,,9
"KINCAID, DR. JANE FO",IRON MAN/TONY STARK,Undirected,820756,,,20
WIZARD/BENTLEY WITTM,IRON MAN/TONY STARK,Undirected,820745,,,7
NIGHTHAWK II/KYLE RI,IRON MAN/TONY STARK,Undirected,819767,,,13
MANTIS/? BRANDT,IRON MAN/TONY STARK,Undirected,819077,,,38
SWORDSMAN/JACQUES DU,IRON MAN/TONY STARK,Undirected,818731,,,36
CHARCOAL/CHARLIE BUR,IRON MAN/TONY STARK,Undirected,811272,,,6
HULK/DR. ROBERT BRUC,IRON MAN/TONY STARK,Undirected,810621,,,85
TOAD/MORTIMER TOYNBE,IRON MAN/TONY STARK,Undirected,803932,,,5
BLOB/FRED J. DUKES,IRON MAN/TONY STARK,Undirected,803848,,,8
CLOAK/TYRONE JOHNSON,IRON MAN/TONY STARK,Undirected,799974,,,6
THUNDERSTRIKE/ERIC K,IRON MAN/TONY STARK,Undirected,799866,,,21
POWER MAN/ERIK JOSTE,IRON MAN/TONY STARK,Undirected,781818,,,19
HUMAN TORCH ANDROID/,IRON MAN/TONY STARK,Undirected,773922,,,25
JUGGERNAUT/CAIN MARK,IRON MAN/TONY STARK,Undirected,768687,,,5
CYCLOPS/SCOTT SUMMER,IRON MAN/TONY STARK,Undirected,764977,,,28
ICEMAN/ROBERT BOBBY,IRON MAN/TONY STARK,Undirected,764725,,,26
PHARAOH RAMA-TUT,IRON MAN/TONY STARK,Undirected,762797,,,41
MARVEL GIRL/JEAN GRE,IRON MAN/TONY STARK,Undirected,756237,,,23
KARNAK [INHUMAN],IRON MAN/TONY STARK,Undirected,740714,,,10
DR. STRANGE/STEPHEN,IRON MAN/TONY STARK,Undirected,738469,,,52
ABSORBING MAN/CARL C,IRON MAN/TONY STARK,Undirected,729534,,,5
REDWING,IRON MAN/TONY STARK,Undirected,728681,,,17
DRAX/ARTHUR DOUGLAS,IRON MAN/TONY STARK,Undirected,708507,,,18
VOLSTAGG,IRON MAN/TONY STARK,Undirected,706050,,,5
SHAMAN/MICHAEL TWOYO,IRON MAN/TONY STARK,Undirected,700504,,,7
SNOWBIRD/NARYA/ANNE,IRON MAN/TONY STARK,Undirected,699979,,,5
DAGGER/TANDY BOWEN,IRON MAN/TONY STARK,Undirected,699505,,,6
PHOENIX III/RACHEL S,IRON MAN/TONY STARK,Undirected,698398,,,6
SHADOWCAT/KATHERINE,IRON MAN/TONY STARK,Undirected,698164,,,15
USAGENT/CAPTAIN JOHN,IRON MAN/TONY STARK,Undirected,696249,,,87
MANDARIN,IRON MAN/TONY STARK,Undirected,696178,,,65
FANDRAL [ASGARDIAN],IRON MAN/TONY STARK,Undirected,686558,,,8
MS. MARVEL II/SHARON,IRON MAN/TONY STARK,Undirected,685379,,,7
PIP/PRINCE GOFERN,IRON MAN/TONY STARK,Undirected,663682,,,7
ENCHANTRESS/AMORA/HE,IRON MAN/TONY STARK,Undirected,662035,,,19
"JAMESON, COL. JOHN",IRON MAN/TONY STARK,Undirected,654689,,,6
"COOPER, DR. VALERIE",IRON MAN/TONY STARK,Undirected,637410,,,6
NOVA II/FRANKIE RAYE,IRON MAN/TONY STARK,Undirected,633005,,,6
DARKHAWK/CHRIS POWEL,IRON MAN/TONY STARK,Undirected,632697,,,7
MEDUSA/MEDUSALITH AM,IRON MAN/TONY STARK,Undirected,630907,,,15
NOMAD III/JACK MONRO,IRON MAN/TONY STARK,Undirected,627555,,,5
"ROBERTSON, JOE",IRON MAN/TONY STARK,Undirected,627054,,,9
"FURY, COL. NICHOLAS",IRON MAN/TONY STARK,Undirected,627050,,,90
GORGON [INHUMAN],IRON MAN/TONY STARK,Undirected,620684,,,11
GARGOYLE II/ISAAC CH,IRON MAN/TONY STARK,Undirected,620469,,,7
IRON FIST/DANIEL RAN,IRON MAN/TONY STARK,Undirected,620229,,,15
BLACK BOLT/BLACKANTO,IRON MAN/TONY STARK,Undirected,617550,,,14
NAMORITA/NITA PRENTI,IRON MAN/TONY STARK,Undirected,614182,,,15
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK,Undirected,611773,,,189
"ROSS, GEN. THADDEUS",IRON MAN/TONY STARK,Undirected,609944,,,16
"HARKNESS, AGATHA",IRON MAN/TONY STARK,Undirected,608003,,,24
"CARTER, PEGGY",IRON MAN/TONY STARK,Undirected,606003,,,9
"RICHARDS, FRANKLIN B",IRON MAN/TONY STARK,Undirected,603132,,,27
MACHINE MAN/X-51,IRON MAN/TONY STARK,Undirected,600617,,,14
STINGRAY/DR. WALTER,IRON MAN/TONY STARK,Undirected,600485,,,7
FIREBIRD/BONITA JUAR,IRON MAN/TONY STARK,Undirected,600344,,,24
SERSI/SYLVIA,IRON MAN/TONY STARK,Undirected,599834,,,37
CRYSTAL [INHUMAN],IRON MAN/TONY STARK,Undirected,599321,,,44
CAPTAIN MARVEL II/MO,IRON MAN/TONY STARK,Undirected,599146,,,43
BEAST/HENRY &HANK& P,IRON MAN/TONY STARK,Undirected,599108,,,142
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK,Undirected,597728,,,110
HYPERION,IRON MAN/TONY STARK,Undirected,597036,,,10
FALCON/SAM WILSON,IRON MAN/TONY STARK,Undirected,596748,,,44
QUASAR III/WENDELL V,IRON MAN/TONY STARK,Undirected,593506,,,43
LIVING LIGHTNING/MIG,IRON MAN/TONY STARK,Undirected,593396,,,35
MAGNETO/MAGNUS/ERIC,IRON MAN/TONY STARK,Undirected,587392,,,14
"JONES, GABE",IRON MAN/TONY STARK,Undirected,586725,,,21
"OSBORN, LIZ ALLAN",IRON MAN/TONY STARK,Undirected,582914,,,5
"LEEDS, BETTY BRANT",IRON MAN/TONY STARK,Undirected,582809,,,6
LOKI [ASGARDIAN],IRON MAN/TONY STARK,Undirected,580311,,,28
SIF,IRON MAN/TONY STARK,Undirected,580266,,,9
BLACK WIDOW/NATASHA,IRON MAN/TONY STARK,Undirected,577675,,,94
MOON KNIGHT/MARC SPE,IRON MAN/TONY STARK,Undirected,577662,,,18
MOONDRAGON/HEATHER D,IRON MAN/TONY STARK,Undirected,577599,,,50
DAZZLER II/ALLISON B,IRON MAN/TONY STARK,Undirected,577585,,,8
MOLECULE MAN/OWEN RE,IRON MAN/TONY STARK,Undirected,577326,,,5
SPEEDBALL/ROBBIE BAL,IRON MAN/TONY STARK,Undirected,575011,,,9
TIGRA/GREER NELSON,IRON MAN/TONY STARK,Undirected,574914,,,87
IRON MAN IV/JAMES R.,MAGNETO/MAGNUS/ERIC,Undirected,915943,,,13
IRON MAN IV/JAMES R.,DR. OCTOPUS/OTTO OCT,Undirected,915062,,,11
IRON MAN IV/JAMES R.,MOLECULE MAN/OWEN RE,Undirected,915051,,,11
IRON MAN IV/JAMES R.,CAPTAIN MARVEL II/MO,Undirected,913449,,,21
IRON MAN IV/JAMES R.,WOLVERINE/LOGAN,Undirected,913438,,,15
IRON MAN IV/JAMES R.,PROFESSOR X/CHARLES,Undirected,815533,,,15
IRON MAN IV/JAMES R.,PHARAOH RAMA-TUT,Undirected,815407,,,7
IRON MAN IV/JAMES R.,GALACTUS/GALAN,Undirected,814791,,,12
IRON MAN IV/JAMES R.,DR. DOOM/VICTOR VON,Undirected,808735,,,16
IRON MAN IV/JAMES R.,USAGENT/CAPTAIN JOHN,Undirected,784185,,,21
IRON MAN IV/JAMES R.,WASP/JANET VAN DYNE,Undirected,778689,,,27
IRON MAN IV/JAMES R.,"HOGAN, VIRGINIA PEPP",Undirected,778687,,,20
IRON MAN IV/JAMES R.,LIVING LIGHTNING/MIG,Undirected,778683,,,7
IRON MAN IV/JAMES R.,CAPTAIN AMERICA,Undirected,765202,,,37
IRON MAN IV/JAMES R.,ANT-MAN II/SCOTT HAR,Undirected,718041,,,15
IRON MAN IV/JAMES R.,SUB-MARINER/NAMOR MA,Undirected,702034,,,5
IRON MAN IV/JAMES R.,SHADOWCAT/KATHERINE,Undirected,698717,,,5
IRON MAN IV/JAMES R.,JOCASTA,Undirected,645589,,,7
IRON MAN IV/JAMES R.,BINARY/CAROL DANVERS,Undirected,645580,,,5
IRON MAN IV/JAMES R.,INVISIBLE WOMAN/SUE,Undirected,641352,,,6
IRON MAN IV/JAMES R.,HERCULES [GREEK GOD],Undirected,618212,,,5
IRON MAN IV/JAMES R.,ROGUE /,Undirected,616289,,,17
IRON MAN IV/JAMES R.,BEETLE/ABNER RONALD,Undirected,611987,,,8
IRON MAN IV/JAMES R.,"GYRICH, HENRY PETER",Undirected,595304,,,5
IRON MAN IV/JAMES R.,DAREDEVIL/MATT MURDO,Undirected,587341,,,5
IRON MAN IV/JAMES R.,SPIDER-WOMAN II/JULI,Undirected,575753,,,25
SPIDER-MAN/PETER PAR,IRON MAN IV/JAMES R.,Undirected,913017,,,17
